model,p,n1,n2,rho,block,seed,R_bh_0.05,V_bh_0.05,S_bh_0.05,R_by_0.05,V_by_0.05,S_by_0.05,fdr_bh_0.05,power_bh_0.05,fdr_by_0.05,power_by_0.05,R_bh_0.1,V_bh_0.1,S_bh_0.1,R_by_0.1,V_by_0.1,S_by_0.1,fdr_bh_0.1,power_bh_0.1,fdr_by_0.1,power_by_0.1,t_lct_0.05,R_lct_0.05,V_lct_0.05,S_lct_0.05,fdr_lct_0.05,power_lct_0.05,t_lct_0.1,R_lct_0.1,V_lct_0.1,S_lct_0.1,fdr_lct_0.1,power_lct_0.1,t_lctb_0.05_B100,R_lctb_0.05_B100,V_lctb_0.05_B100,S_lctb_0.05_B100,fdr_lctb_0.05_B100,power_lctb_0.05_B100,t_lctb_0.1_B100,R_lctb_0.1_B100,V_lctb_0.1_B100,S_lctb_0.1_B100,fdr_lctb_0.1_B100,power_lctb_0.1_B100,wall_time_s
gaussian,500,120,120,0.65,20,0,192,14,178,161,2,159,0.07291666666666667,0.9368421052631579,0.012422360248447204,0.8368421052631579,206,24,182,172,5,167,0.11650485436893204,0.9578947368421052,0.029069767441860465,0.8789473684210526,4.097047505508059,107,9,98,0.08411214953271028,0.5157894736842106,3.8864581689179776,128,15,113,0.1171875,0.5947368421052631,4.178310268722344,88,6,82,0.06818181818181818,0.43157894736842106,3.927382397995644,123,14,109,0.11382113821138211,0.5736842105263158,23.595167
gaussian,500,120,120,0.65,20,1,201,16,185,175,1,174,0.07960199004975124,0.9736842105263158,0.005714285714285714,0.9157894736842105,215,28,187,182,4,178,0.13023255813953488,0.9842105263157894,0.02197802197802198,0.9368421052631579,4.0211466055254155,145,12,133,0.08275862068965517,0.7,3.8186017619652786,169,24,145,0.14201183431952663,0.7631578947368421,4.0956428200207595,134,8,126,0.05970149253731343,0.6631578947368421,3.878376808145798,158,16,142,0.10126582278481013,0.7473684210526316,23.370649
gaussian,500,120,120,0.65,20,2,170,12,158,101,0,101,0.07058823529411765,0.8315789473684211,0.0,0.531578947368421,183,19,164,118,1,117,0.10382513661202186,0.8631578947368421,0.00847457627118644,0.6157894736842106,4.1588435399391965,82,6,76,0.07317073170731707,0.4,3.9032601579194464,121,19,102,0.15702479338842976,0.5368421052631579,4.252484613432059,72,3,69,0.041666666666666664,0.3631578947368421,3.9615596623109335,113,19,94,0.168141592920354,0.49473684210526314,23.806358
gaussian,500,120,120,0.65,20,3,204,14,190,186,2,184,0.06862745098039216,1.0,0.010752688172043012,0.968421052631579,225,35,190,187,3,184,0.15555555555555556,1.0,0.016042780748663103,0.968421052631579,3.963056858490282,186,17,169,0.0913978494623656,0.8894736842105263,3.7746355314126925,209,32,177,0.15311004784688995,0.9315789473684211,4.025415811895864,180,13,167,0.07222222222222222,0.8789473684210526,3.8470707388982337,200,25,175,0.125,0.9210526315789473,23.957345
gaussian,500,120,120,0.65,20,4,197,8,189,188,2,186,0.04060913705583756,0.9947368421052631,0.010638297872340425,0.9789473684210527,206,17,189,190,2,188,0.0825242718446602,0.9947368421052631,0.010526315789473684,0.9894736842105263,3.999000334215105,168,5,163,0.02976190476190476,0.8578947368421053,3.796749550051389,185,11,174,0.05945945945945946,0.9157894736842105,4.028728050420115,166,5,161,0.030120481927710843,0.8473684210526315,3.84991976989626,181,10,171,0.055248618784530384,0.9,24.50459
gaussian,500,120,120,0.65,20,5,205,15,190,193,6,187,0.07317073170731707,1.0,0.031088082901554404,0.9842105263157894,217,27,190,194,7,187,0.12442396313364056,1.0,0.03608247422680412,0.9842105263157894,4.001292715565398,158,13,145,0.08227848101265822,0.7631578947368421,3.801197770539406,187,29,158,0.15508021390374332,0.8315789473684211,4.048490265334831,153,12,141,0.0784313725490196,0.7421052631578947,3.848494928412177,181,26,155,0.143646408839779,0.8157894736842105,23.703366
gaussian,500,120,120,0.65,20,6,199,10,189,189,0,189,0.05025125628140704,0.9947368421052631,0.0,0.9947368421052631,220,31,189,190,1,189,0.1409090909090909,0.9947368421052631,0.005263157894736842,0.9947368421052631,3.973619972221237,191,11,180,0.05759162303664921,0.9473684210526315,3.7541011844202403,218,32,186,0.14678899082568808,0.9789473684210527,4.038459470731155,185,5,180,0.02702702702702703,0.9473684210526315,3.814313816533623,212,29,183,0.13679245283018868,0.9631578947368421,23.827977
gaussian,500,120,120,0.65,20,7,207,17,190,178,0,178,0.0821256038647343,1.0,0.0,0.9368421052631579,219,29,190,188,4,184,0.1324200913242009,1.0,0.02127659574468085,0.968421052631579,3.996763623135415,165,12,153,0.07272727272727272,0.8052631578947368,3.778306958098226,198,31,167,0.15656565656565657,0.8789473684210526,4.0382997804660485,160,10,150,0.0625,0.7894736842105263,3.8307941620487487,192,28,164,0.14583333333333334,0.8631578947368421,23.916033
gaussian,500,120,120,0.65,20,8,187,8,179,164,0,164,0.0427807486631016,0.9421052631578948,0.0,0.8631578947368421,207,21,186,173,0,173,0.10144927536231885,0.9789473684210527,0.0,0.9105263157894737,3.981758327589959,172,11,161,0.06395348837209303,0.8473684210526315,3.7950395094179403,192,25,167,0.13020833333333334,0.8789473684210526,4.0531262421095064,160,9,151,0.05625,0.7947368421052632,3.851369368626051,186,21,165,0.11290322580645161,0.868421052631579,24.260791
gaussian,500,120,120,0.65,20,9,197,8,189,190,3,187,0.04060913705583756,0.9947368421052631,0.015789473684210527,0.9842105263157894,209,19,190,190,3,187,0.09090909090909091,1.0,0.015789473684210527,0.9842105263157894,3.9733936795915907,178,10,168,0.056179775280898875,0.8842105263157894,3.791760948732182,199,20,179,0.10050251256281408,0.9421052631578948,4.059570513162168,168,7,161,0.041666666666666664,0.8473684210526315,3.8396869784592327,192,18,174,0.09375,0.9157894736842105,24.498231
