model,x_model,p,n1,n2,seed,t_lct_0.05,R_lct_0.05,fdp_lct_0.05,any_reject_lct_0.05,R_over_M_lct_0.05,t_lct_0.10,R_lct_0.10,fdp_lct_0.10,any_reject_lct_0.10,R_over_M_lct_0.10,t_lctb_0.05_B50,R_lctb_0.05_B50,fdp_lctb_0.05_B50,any_reject_lctb_0.05_B50,R_over_M_lctb_0.05_B50,t_lctb_0.10_B50,R_lctb_0.10_B50,fdp_lctb_0.10_B50,any_reject_lctb_0.10_B50,R_over_M_lctb_0.10_B50,lctb_B50_wall_time_s,t_lctb_0.05_B100,R_lctb_0.05_B100,fdp_lctb_0.05_B100,any_reject_lctb_0.05_B100,R_over_M_lctb_0.05_B100,t_lctb_0.10_B100,R_lctb_0.10_B100,fdp_lctb_0.10_B100,any_reject_lctb_0.10_B100,R_over_M_lctb_0.10_B100,lctb_B100_wall_time_s,wall_time_s
laplace,laplace,500,80,80,0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,39.07544629400036,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,40.67950348799968,121.65446867600076
laplace,laplace,500,80,80,1,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,39.116024610999375,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,40.519331576000695,114.84882064299927
laplace,laplace,500,80,80,2,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,38.9616556029996,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,41.17081242399945,115.80711395399885
laplace,laplace,500,80,80,3,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,38.9289632100008,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,43.05605800900048,117.77127305700014
laplace,laplace,500,80,80,4,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,38.47857748499882,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,41.65041664899945,115.28078327300136
laplace,laplace,500,80,80,5,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,38.34951223600001,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,41.9392994509999,115.36799213199993
laplace,laplace,500,80,80,6,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,38.49107661499875,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,41.42541901099867,114.87142506000055
laplace,laplace,500,80,80,7,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,38.1514295399993,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,41.241071472999465,114.23482415300168
laplace,laplace,500,80,80,8,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,38.62655892299881,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,41.5917571029986,115.15973760899942
laplace,laplace,500,80,80,9,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,39.12018553999951,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,42.121522849998655,116.27500644800057
