model,p,n1,n2,rho,block,seed,k_rate,R_bh_0.05,V_bh_0.05,S_bh_0.05,R_by_0.05,V_by_0.05,S_by_0.05,fdr_bh_0.05,power_bh_0.05,fdr_by_0.05,power_by_0.05,R_bh_0.1,V_bh_0.1,S_bh_0.1,R_by_0.1,V_by_0.1,S_by_0.1,fdr_bh_0.1,power_bh_0.1,fdr_by_0.1,power_by_0.1,t_lct_0.05,R_lct_0.05,V_lct_0.05,S_lct_0.05,fdr_lct_0.05,power_lct_0.05,t_lct_0.1,R_lct_0.1,V_lct_0.1,S_lct_0.1,fdr_lct_0.1,power_lct_0.1,t_lctb_0.05_B100,R_lctb_0.05_B100,V_lctb_0.05_B100,S_lctb_0.05_B100,fdr_lctb_0.05_B100,power_lctb_0.05_B100,t_lctb_0.1_B100,R_lctb_0.1_B100,V_lctb_0.1_B100,S_lctb_0.1_B100,fdr_lctb_0.1_B100,power_lctb_0.1_B100,wall_time_s
exp,250,80,80,0.7,20,0,1.0,186,0,186,158,0,158,0.0,0.9789473684210527,0.0,0.8315789473684211,187,0,187,170,0,170,0.0,0.9842105263157894,0.0,0.8947368421052632,4.92869721288512,1,0,1,0.0,0.005263157894736842,4.92869721288512,1,0,1,0.0,0.005263157894736842,4.92869721288512,1,0,1,0.0,0.005263157894736842,4.3622884239155235,3,0,3,0.0,0.015789473684210527,2.288618
exp,250,80,80,0.7,20,1,1.0,188,0,188,186,0,186,0.0,0.9894736842105263,0.0,0.9789473684210527,190,0,190,187,0,187,0.0,1.0,0.0,0.9842105263157894,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,2.327291
exp,250,80,80,0.7,20,2,1.0,189,0,189,182,0,182,0.0,0.9947368421052631,0.0,0.9578947368421052,190,0,190,186,0,186,0.0,1.0,0.0,0.9789473684210527,4.62711156767386,4,0,4,0.0,0.021052631578947368,4.01177135521734,19,0,19,0.0,0.1,4.421175074482529,5,0,5,0.0,0.02631578947368421,3.8986563557843827,29,0,29,0.0,0.15263157894736842,2.523694
exp,250,80,80,0.7,20,3,1.0,147,0,147,81,0,81,0.0,0.7736842105263158,0.0,0.4263157894736842,162,0,162,101,0,101,0.0,0.8526315789473684,0.0,0.531578947368421,4.357466848734253,9,0,9,0.0,0.04736842105263158,3.924999215093394,29,0,29,0.0,0.15263157894736842,4.357466848734253,9,0,9,0.0,0.04736842105263158,3.924999215093394,29,0,29,0.0,0.15263157894736842,2.380264
exp,250,80,80,0.7,20,4,1.0,188,0,188,184,0,184,0.0,0.9894736842105263,0.0,0.968421052631579,188,0,188,186,0,186,0.0,0.9894736842105263,0.0,0.9789473684210527,4.5067266696522115,6,0,6,0.0,0.031578947368421054,4.024753718177987,19,0,19,0.0,0.1,4.5067266696522115,6,0,6,0.0,0.031578947368421054,4.024753718177987,19,0,19,0.0,0.1,2.242039
exp,250,80,80,0.7,20,5,1.0,190,0,190,185,0,185,0.0,1.0,0.0,0.9736842105263158,190,0,190,187,0,187,0.0,1.0,0.0,0.9842105263157894,4.236189947342843,21,0,21,0.0,0.11052631578947368,3.809666244881808,45,0,45,0.0,0.23684210526315788,4.236189947342843,21,0,21,0.0,0.11052631578947368,3.8407000433059424,43,0,43,0.0,0.22631578947368422,2.455572
exp,250,80,80,0.7,20,6,1.0,180,0,180,151,0,151,0.0,0.9473684210526315,0.0,0.7947368421052632,183,0,183,157,0,157,0.0,0.9631578947368421,0.0,0.8263157894736842,4.06928915130384,31,0,31,0.0,0.1631578947368421,3.7669503215127746,53,0,53,0.0,0.2789473684210526,4.186969895601374,22,0,22,0.0,0.11578947368421053,3.8490901875793573,46,0,46,0.0,0.24210526315789474,3.47485
exp,250,80,80,0.7,20,7,1.0,176,0,176,125,0,125,0.0,0.9263157894736842,0.0,0.6578947368421053,183,0,183,153,0,153,0.0,0.9631578947368421,0.0,0.8052631578947368,3.8834553759718937,65,0,65,0.0,0.34210526315789475,3.608327396541904,97,0,97,0.0,0.5105263157894737,3.8469088977553745,70,0,70,0.0,0.3684210526315789,3.608327396541904,97,0,97,0.0,0.5105263157894737,2.419484
exp,250,80,80,0.7,20,8,1.0,190,0,190,190,0,190,0.0,1.0,0.0,1.0,190,0,190,190,0,190,0.0,1.0,0.0,1.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,2.313312
exp,250,80,80,0.7,20,9,1.0,174,0,174,164,0,164,0.0,0.9157894736842105,0.0,0.8631578947368421,177,0,177,170,0,170,0.0,0.9315789473684211,0.0,0.8947368421052632,4.764942601314621,3,0,3,0.0,0.015789473684210527,4.43660901117096,4,0,4,0.0,0.021052631578947368,4.764942601314621,3,0,3,0.0,0.015789473684210527,4.43660901117096,4,0,4,0.0,0.021052631578947368,2.247537
exp,250,80,80,0.7,20,10,1.0,176,0,176,140,0,140,0.0,0.9263157894736842,0.0,0.7368421052631579,180,0,180,152,0,152,0.0,0.9473684210526315,0.0,0.8,inf,0,0,0,0.0,0.0,4.277160236693391,6,0,6,0.0,0.031578947368421054,inf,0,0,0,0.0,0.0,4.2219958707860155,7,0,7,0.0,0.03684210526315789,2.630478
exp,250,80,80,0.7,20,11,1.0,123,0,123,59,0,59,0.0,0.6473684210526316,0.0,0.3105263157894737,135,1,134,73,0,73,0.007407407407407408,0.7052631578947368,0.0,0.38421052631578945,4.343229276825632,12,0,12,0.0,0.06315789473684211,3.8856728038990194,32,0,32,0.0,0.16842105263157894,4.343229276825632,12,0,12,0.0,0.06315789473684211,3.909498844265982,31,0,31,0.0,0.1631578947368421,2.261901
exp,250,80,80,0.7,20,12,1.0,189,0,189,178,0,178,0.0,0.9947368421052631,0.0,0.9368421052631579,190,0,190,183,0,183,0.0,1.0,0.0,0.9631578947368421,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,2.44911
exp,250,80,80,0.7,20,13,1.0,186,0,186,171,0,171,0.0,0.9789473684210527,0.0,0.9,187,0,187,178,0,178,0.0,0.9842105263157894,0.0,0.9368421052631579,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,2.332728
exp,250,80,80,0.7,20,14,1.0,185,0,185,167,0,167,0.0,0.9736842105263158,0.0,0.8789473684210526,187,0,187,179,0,179,0.0,0.9842105263157894,0.0,0.9421052631578948,4.375183349006365,9,0,9,0.0,0.04736842105263158,3.9524181595405494,25,0,25,0.0,0.13157894736842105,4.299504174904663,10,0,10,0.0,0.05263157894736842,3.9524181595405494,25,0,25,0.0,0.13157894736842105,2.407038
exp,250,80,80,0.7,20,15,1.0,29,0,29,3,0,3,0.0,0.15263157894736842,0.0,0.015789473684210527,57,0,57,7,0,7,0.0,0.3,0.0,0.03684210526315789,inf,0,0,0,0.0,0.0,4.661175404125556,1,0,1,0.0,0.005263157894736842,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,2.553722
exp,250,80,80,0.7,20,16,1.0,127,0,127,35,0,35,0.0,0.6684210526315789,0.0,0.18421052631578946,145,0,145,54,0,54,0.0,0.7631578947368421,0.0,0.28421052631578947,4.314944453616225,10,0,10,0.0,0.05263157894736842,3.9310130437331576,29,0,29,0.0,0.15263157894736842,4.268276459532761,12,0,12,0.0,0.06315789473684211,3.8978191105126903,30,0,30,0.0,0.15789473684210525,2.230835
exp,250,80,80,0.7,20,17,1.0,178,0,178,145,0,145,0.0,0.9368421052631579,0.0,0.7631578947368421,182,0,182,158,0,158,0.0,0.9578947368421052,0.0,0.8315789473684211,inf,0,0,0,0.0,0.0,4.370342177879646,4,0,4,0.0,0.021052631578947368,inf,0,0,0,0.0,0.0,4.370342177879646,4,0,4,0.0,0.021052631578947368,2.415777
exp,250,80,80,0.7,20,18,1.0,131,0,131,64,0,64,0.0,0.6894736842105263,0.0,0.3368421052631579,150,0,150,80,0,80,0.0,0.7894736842105263,0.0,0.42105263157894735,4.886594955270653,1,0,1,0.0,0.005263157894736842,4.525039202802548,2,0,2,0.0,0.010526315789473684,4.886594955270653,1,0,1,0.0,0.005263157894736842,4.09831461018045,12,0,12,0.0,0.06315789473684211,2.283179
exp,250,80,80,0.7,20,19,1.0,182,0,182,143,0,143,0.0,0.9578947368421052,0.0,0.7526315789473684,186,0,186,159,0,159,0.0,0.9789473684210527,0.0,0.8368421052631579,4.585942631483595,4,0,4,0.0,0.021052631578947368,4.087484412872397,14,0,14,0.0,0.07368421052631578,4.585942631483595,4,0,4,0.0,0.021052631578947368,4.087484412872397,14,0,14,0.0,0.07368421052631578,2.644486
