model,p,n,rho,block,seed,R_bh_0.05,V_bh_0.05,S_bh_0.05,R_by_0.05,V_by_0.05,S_by_0.05,fdr_bh_0.05,power_bh_0.05,fdr_by_0.05,power_by_0.05,R_bh_0.1,V_bh_0.1,S_bh_0.1,R_by_0.1,V_by_0.1,S_by_0.1,fdr_bh_0.1,power_bh_0.1,fdr_by_0.1,power_by_0.1,t_lct_0.05,R_lct_0.05,V_lct_0.05,S_lct_0.05,fdr_lct_0.05,power_lct_0.05,t_lct_0.1,R_lct_0.1,V_lct_0.1,S_lct_0.1,fdr_lct_0.1,power_lct_0.1,t_lctb_0.05_B100,R_lctb_0.05_B100,V_lctb_0.05_B100,S_lctb_0.05_B100,fdr_lctb_0.05_B100,power_lctb_0.05_B100,t_lctb_0.1_B100,R_lctb_0.1_B100,V_lctb_0.1_B100,S_lctb_0.1_B100,fdr_lctb_0.1_B100,power_lctb_0.1_B100,wall_time_s
t,250,200,0.5,20,0,187,0,187,182,0,182,0.0,0.9842105263157894,0.0,0.9578947368421052,189,0,189,186,0,186,0.0,0.9947368421052631,0.0,0.9789473684210527,3.7287987867023866,124,0,124,0.0,0.6526315789473685,3.5010099741294307,153,0,153,0.0,0.8052631578947368,3.631164294577922,136,0,136,0.0,0.7157894736842105,3.421486814563039,160,0,160,0.0,0.8421052631578947,1.708362
t,250,200,0.5,20,1,187,0,187,178,0,178,0.0,0.9842105263157894,0.0,0.9368421052631579,190,2,188,183,0,183,0.010526315789473684,0.9894736842105263,0.0,0.9631578947368421,3.698938761274813,139,0,139,0.0,0.7315789473684211,3.479281118530444,158,0,158,0.0,0.8315789473684211,3.564321373066739,148,0,148,0.0,0.7789473684210526,3.368913201267219,170,0,170,0.0,0.8947368421052632,1.6696
t,250,200,0.5,20,2,186,0,186,165,0,165,0.0,0.9789473684210527,0.0,0.868421052631579,188,0,188,173,0,173,0.0,0.9894736842105263,0.0,0.9105263157894737,4.151090383078848,21,0,21,0.0,0.11052631578947368,3.763477887213264,56,0,56,0.0,0.29473684210526313,3.853867414548394,46,0,46,0.0,0.24210526315789474,3.550416264332443,87,0,87,0.0,0.45789473684210524,1.743754
t,250,200,0.5,20,3,189,0,189,188,0,188,0.0,0.9947368421052631,0.0,0.9894736842105263,189,0,189,189,0,189,0.0,0.9947368421052631,0.0,0.9947368421052631,3.684355872634946,144,0,144,0.0,0.7578947368421053,3.472478510730392,164,0,164,0.0,0.8631578947368421,3.6345163269523635,153,0,153,0.0,0.8052631578947368,3.4472333845390457,166,0,166,0.0,0.8736842105263158,1.741254
t,250,200,0.5,20,4,190,0,190,190,0,190,0.0,1.0,0.0,1.0,190,0,190,190,0,190,0.0,1.0,0.0,1.0,3.6879784700824305,144,0,144,0.0,0.7578947368421053,3.474171461273416,169,0,169,0.0,0.8894736842105263,3.5918835293068816,160,0,160,0.0,0.8421052631578947,3.4071686523550815,173,0,173,0.0,0.9105263157894737,1.740189
t,250,200,0.5,20,5,185,0,185,174,0,174,0.0,0.9736842105263158,0.0,0.9157894736842105,188,0,188,181,0,181,0.0,0.9894736842105263,0.0,0.9526315789473684,3.640815486212749,173,0,173,0.0,0.9105263157894737,3.482323283530516,177,0,177,0.0,0.9315789473684211,3.6037118504407943,176,0,176,0.0,0.9263157894736842,3.482323283530516,177,0,177,0.0,0.9315789473684211,1.550589
t,250,200,0.5,20,6,187,0,187,182,0,182,0.0,0.9842105263157894,0.0,0.9578947368421052,189,0,189,186,0,186,0.0,0.9947368421052631,0.0,0.9789473684210527,3.7201382247650607,128,0,128,0.0,0.6736842105263158,3.47781567449922,159,0,159,0.0,0.8368421052631579,3.622111202370571,139,0,139,0.0,0.7315789473684211,3.4411899101819525,161,0,161,0.0,0.8473684210526315,1.689533
t,250,200,0.5,20,7,190,0,190,190,0,190,0.0,1.0,0.0,1.0,190,0,190,190,0,190,0.0,1.0,0.0,1.0,3.6616995450474,168,0,168,0.0,0.8842105263157894,3.450833974951194,182,0,182,0.0,0.9578947368421052,3.611666504069558,171,0,171,0.0,0.9,3.407936429726057,183,0,183,0.0,0.9631578947368421,1.603422
t,250,200,0.5,20,8,190,0,190,188,0,188,0.0,1.0,0.0,0.9894736842105263,190,0,190,188,0,188,0.0,1.0,0.0,0.9894736842105263,3.6626052912788136,182,0,182,0.0,0.9578947368421052,3.4447627137806944,186,0,186,0.0,0.9789473684210527,3.5805542195130995,183,0,183,0.0,0.9631578947368421,3.4447627137806944,186,0,186,0.0,0.9789473684210527,1.781664
t,250,200,0.5,20,9,190,1,189,180,0,180,0.005263157894736842,0.9947368421052631,0.0,0.9473684210526315,191,1,190,183,0,183,0.005235602094240838,1.0,0.0,0.9631578947368421,3.739499646704105,116,0,116,0.0,0.6105263157894737,3.509258966326661,144,0,144,0.0,0.7578947368421053,3.578737182192785,136,0,136,0.0,0.7157894736842105,3.3803708773017647,157,0,157,0.0,0.8263157894736842,1.680422
t,250,200,0.5,20,10,184,0,184,170,0,170,0.0,0.968421052631579,0.0,0.8947368421052632,189,0,189,176,0,176,0.0,0.9947368421052631,0.0,0.9263157894736842,3.7025802916955555,140,0,140,0.0,0.7368421052631579,3.469976817398309,164,0,164,0.0,0.8631578947368421,3.6420711072389724,145,0,145,0.0,0.7631578947368421,3.441537535131997,168,0,168,0.0,0.8842105263157894,1.665479
t,250,200,0.5,20,11,191,1,190,189,0,189,0.005235602094240838,1.0,0.0,0.9947368421052631,191,1,190,189,0,189,0.005235602094240838,1.0,0.0,0.9947368421052631,3.7846042904547366,96,0,96,0.0,0.5052631578947369,3.5338844487203205,131,0,131,0.0,0.6894736842105263,3.6909346459257253,111,0,111,0.0,0.5842105263157895,3.466986905634841,135,0,135,0.0,0.7105263157894737,1.612183
t,250,200,0.5,20,12,190,0,190,190,0,190,0.0,1.0,0.0,1.0,190,0,190,190,0,190,0.0,1.0,0.0,1.0,3.6749033763414283,163,0,163,0.0,0.8578947368421053,3.4764584263591276,172,0,172,0.0,0.9052631578947369,3.6186747488654447,165,0,165,0.0,0.868421052631579,3.40637931476343,176,0,176,0.0,0.9263157894736842,1.718551
t,250,200,0.5,20,13,189,0,189,180,0,180,0.0,0.9947368421052631,0.0,0.9473684210526315,189,0,189,183,0,183,0.0,0.9947368421052631,0.0,0.9631578947368421,3.7369559209858503,118,0,118,0.0,0.6210526315789474,3.5345516241120842,147,0,147,0.0,0.7736842105263158,3.614537310339654,137,0,137,0.0,0.7210526315789474,3.4096617897781543,156,0,156,0.0,0.8210526315789474,1.623869
t,250,200,0.5,20,14,189,0,189,168,0,168,0.0,0.9947368421052631,0.0,0.8842105263157894,190,1,189,181,0,181,0.005263157894736842,0.9947368421052631,0.0,0.9526315789473684,3.719774316716979,134,0,134,0.0,0.7052631578947368,3.5032661713801,153,0,153,0.0,0.8052631578947368,3.5297417819279797,150,0,150,0.0,0.7894736842105263,3.354110855918627,163,0,163,0.0,0.8578947368421053,1.912013
