model,p,n1,n2,rho,block,seed,R_bh_0.05,V_bh_0.05,S_bh_0.05,R_by_0.05,V_by_0.05,S_by_0.05,fdr_bh_0.05,power_bh_0.05,fdr_by_0.05,power_by_0.05,R_bh_0.1,V_bh_0.1,S_bh_0.1,R_by_0.1,V_by_0.1,S_by_0.1,fdr_bh_0.1,power_bh_0.1,fdr_by_0.1,power_by_0.1,t_lct_0.05,R_lct_0.05,V_lct_0.05,S_lct_0.05,fdr_lct_0.05,power_lct_0.05,t_lct_0.1,R_lct_0.1,V_lct_0.1,S_lct_0.1,fdr_lct_0.1,power_lct_0.1,t_lctb_0.05_B100,R_lctb_0.05_B100,V_lctb_0.05_B100,S_lctb_0.05_B100,fdr_lctb_0.05_B100,power_lctb_0.05_B100,t_lctb_0.1_B100,R_lctb_0.1_B100,V_lctb_0.1_B100,S_lctb_0.1_B100,fdr_lctb_0.1_B100,power_lctb_0.1_B100,wall_time_s
gaussian,250,80,80,0.7,20,0,198,10,188,166,2,164,0.050505050505050504,0.9894736842105263,0.012048192771084338,0.8631578947368421,210,22,188,180,4,176,0.10476190476190476,0.9894736842105263,0.022222222222222223,0.9263157894736842,3.850875738211515,81,4,77,0.04938271604938271,0.4052631578947368,3.5374809526202236,126,20,106,0.15873015873015872,0.5578947368421052,3.9265697319885855,76,3,73,0.039473684210526314,0.38421052631578945,3.721114558127344,91,11,80,0.12087912087912088,0.42105263157894735,3.625778
gaussian,250,80,80,0.7,20,1,186,12,174,140,2,138,0.06451612903225806,0.9157894736842105,0.014285714285714285,0.7263157894736842,221,37,184,155,3,152,0.167420814479638,0.968421052631579,0.01935483870967742,0.8,3.766767082346622,106,7,99,0.0660377358490566,0.5210526315789473,3.499239697189646,146,23,123,0.15753424657534246,0.6473684210526316,3.8610811119935553,99,5,94,0.050505050505050504,0.49473684210526314,3.635260548421906,119,11,108,0.09243697478991597,0.5684210526315789,2.685976
gaussian,250,80,80,0.7,20,2,176,9,167,138,1,137,0.05113636363636364,0.8789473684210526,0.007246376811594203,0.7210526315789474,187,13,174,148,1,147,0.06951871657754011,0.9157894736842105,0.006756756756756757,0.7736842105263158,3.766601587149332,104,5,99,0.04807692307692308,0.5210526315789473,3.4977353668499864,147,21,126,0.14285714285714285,0.6631578947368421,3.872136501327279,96,2,94,0.020833333333333332,0.49473684210526314,3.609460211750299,131,13,118,0.09923664122137404,0.6210526315789474,3.032096
gaussian,250,80,80,0.7,20,3,196,12,184,162,1,161,0.061224489795918366,0.968421052631579,0.006172839506172839,0.8473684210526315,218,31,187,167,1,166,0.14220183486238533,0.9842105263157894,0.005988023952095809,0.8736842105263158,3.722666560665873,128,8,120,0.0625,0.631578947368421,3.4852814952473072,156,19,137,0.12179487179487179,0.7210526315789474,3.830155959854075,117,6,111,0.05128205128205128,0.5842105263157895,3.5861678953033334,136,9,127,0.0661764705882353,0.6684210526315789,2.783816
gaussian,250,80,80,0.7,20,4,197,8,189,188,0,188,0.04060913705583756,0.9947368421052631,0.0,0.9894736842105263,208,18,190,190,2,188,0.08653846153846154,1.0,0.010526315789473684,0.9894736842105263,3.699195045262141,135,9,126,0.06666666666666667,0.6631578947368421,3.4611210097472775,168,18,150,0.10714285714285714,0.7894736842105263,3.792191824374301,123,6,117,0.04878048780487805,0.6157894736842106,3.5596298580679027,153,12,141,0.0784313725490196,0.7421052631578947,2.910098
gaussian,250,80,80,0.7,20,5,209,19,190,191,1,190,0.09090909090909091,1.0,0.005235602094240838,1.0,221,31,190,192,2,190,0.14027149321266968,1.0,0.010416666666666666,1.0,3.6523892232921016,164,12,152,0.07317073170731707,0.8,3.4107676414889747,202,35,167,0.17326732673267325,0.8789473684210526,3.7454318150748023,159,10,149,0.06289308176100629,0.7842105263157895,3.509727961907242,185,24,161,0.12972972972972974,0.8473684210526315,2.874097
gaussian,250,80,80,0.7,20,6,196,9,187,172,0,172,0.04591836734693878,0.9842105263157894,0.0,0.9052631578947369,207,18,189,177,1,176,0.08695652173913043,0.9947368421052631,0.005649717514124294,0.9263157894736842,3.6727620781836348,151,7,144,0.046357615894039736,0.7578947368421053,3.4462528614618124,177,16,161,0.0903954802259887,0.8473684210526315,3.7606768397613735,141,7,134,0.04964539007092199,0.7052631578947368,3.5364647190895186,167,12,155,0.0718562874251497,0.8157894736842105,3.07505
gaussian,250,80,80,0.7,20,7,198,10,188,184,1,183,0.050505050505050504,0.9894736842105263,0.005434782608695652,0.9631578947368421,211,22,189,185,1,184,0.10426540284360189,0.9947368421052631,0.005405405405405406,0.968421052631579,3.7176774362807508,131,7,124,0.05343511450381679,0.6526315789473685,3.4748703720730503,165,17,148,0.10303030303030303,0.7789473684210526,3.78812822416313,125,5,120,0.04,0.631578947368421,3.548315913655661,156,15,141,0.09615384615384616,0.7421052631578947,3.067699
gaussian,250,80,80,0.7,20,8,192,9,183,170,1,169,0.046875,0.9631578947368421,0.0058823529411764705,0.8894736842105263,210,25,185,179,2,177,0.11904761904761904,0.9736842105263158,0.0111731843575419,0.9315789473684211,3.724197332139134,123,9,114,0.07317073170731707,0.6,3.4726870959446887,161,20,141,0.12422360248447205,0.7421052631578947,3.8281134789217237,110,8,102,0.07272727272727272,0.5368421052631579,3.5870927964192885,141,14,127,0.09929078014184398,0.6684210526315789,2.781715
gaussian,250,80,80,0.7,20,9,194,7,187,178,1,177,0.03608247422680412,0.9842105263157894,0.0056179775280898875,0.9315789473684211,206,19,187,183,1,182,0.09223300970873786,0.9842105263157894,0.00546448087431694,0.9578947368421052,3.6779591418499606,148,11,137,0.07432432432432433,0.7210526315789474,3.437453065009888,187,30,157,0.16042780748663102,0.8263157894736842,3.780721985354452,127,8,119,0.06299212598425197,0.6263157894736842,3.529278220097878,171,20,151,0.11695906432748537,0.7947368421052632,2.897441
