model,p,n1,n2,rho,block,seed,k_b,R_bh_0.05,V_bh_0.05,S_bh_0.05,R_by_0.05,V_by_0.05,S_by_0.05,fdr_bh_0.05,power_bh_0.05,fdr_by_0.05,power_by_0.05,R_bh_0.1,V_bh_0.1,S_bh_0.1,R_by_0.1,V_by_0.1,S_by_0.1,fdr_bh_0.1,power_bh_0.1,fdr_by_0.1,power_by_0.1,t_lct_0.05,R_lct_0.05,V_lct_0.05,S_lct_0.05,fdr_lct_0.05,power_lct_0.05,t_lct_0.1,R_lct_0.1,V_lct_0.1,S_lct_0.1,fdr_lct_0.1,power_lct_0.1,t_lctb_0.05_B100,R_lctb_0.05_B100,V_lctb_0.05_B100,S_lctb_0.05_B100,fdr_lctb_0.05_B100,power_lctb_0.05_B100,t_lctb_0.1_B100,R_lctb_0.1_B100,V_lctb_0.1_B100,S_lctb_0.1_B100,fdr_lctb_0.1_B100,power_lctb_0.1_B100,wall_time_s
laplace,250,80,80,0.7,20,0,0.7071067811865475,190,0,190,187,0,187,0.0,1.0,0.0,0.9842105263157894,190,0,190,188,0,188,0.0,1.0,0.0,0.9894736842105263,4.723787190262922,2,0,2,0.0,0.010526315789473684,3.9347568924739083,29,0,29,0.0,0.15263157894736842,4.723787190262922,2,0,2,0.0,0.010526315789473684,3.9347568924739083,29,0,29,0.0,0.15263157894736842,2.264069
laplace,250,80,80,0.7,20,1,0.7071067811865475,190,0,190,184,0,184,0.0,1.0,0.0,0.968421052631579,190,0,190,189,0,189,0.0,1.0,0.0,0.9947368421052631,4.249604516023403,15,0,15,0.0,0.07894736842105263,3.9013432639301913,31,0,31,0.0,0.1631578947368421,4.249604516023403,15,0,15,0.0,0.07894736842105263,3.9013432639301913,31,0,31,0.0,0.1631578947368421,2.306175
laplace,250,80,80,0.7,20,2,0.7071067811865475,189,0,189,180,0,180,0.0,0.9947368421052631,0.0,0.9473684210526315,190,0,190,182,0,182,0.0,1.0,0.0,0.9578947368421052,3.9537966725068348,49,0,49,0.0,0.2578947368421053,3.6043220289219984,100,0,100,0.0,0.5263157894736842,3.9757581615028723,48,0,48,0.0,0.25263157894736843,3.6146508618557296,98,0,98,0.0,0.5157894736842106,2.262869
laplace,250,80,80,0.7,20,3,0.7071067811865475,190,0,190,175,0,175,0.0,1.0,0.0,0.9210526315789473,190,0,190,182,0,182,0.0,1.0,0.0,0.9578947368421052,4.510279905093409,5,0,5,0.0,0.02631578947368421,4.089025462768764,14,0,14,0.0,0.07368421052631578,4.510279905093409,5,0,5,0.0,0.02631578947368421,4.138575465031527,13,0,13,0.0,0.06842105263157895,2.467929
laplace,250,80,80,0.7,20,4,0.7071067811865475,190,0,190,190,0,190,0.0,1.0,0.0,1.0,190,0,190,190,0,190,0.0,1.0,0.0,1.0,3.9370962618941587,52,0,52,0.0,0.2736842105263158,3.6640770882234976,78,0,78,0.0,0.4105263157894737,3.9272450925490743,53,0,53,0.0,0.2789473684210526,3.7176851560420956,71,0,71,0.0,0.3736842105263158,2.271265
laplace,250,80,80,0.7,20,5,0.7071067811865475,190,0,190,190,0,190,0.0,1.0,0.0,1.0,190,0,190,190,0,190,0.0,1.0,0.0,1.0,3.799519316338516,91,0,91,0.0,0.4789473684210526,3.536930035086354,127,0,127,0.0,0.6684210526315789,3.898164840237338,81,0,81,0.0,0.4263157894736842,3.6179833090776117,115,0,115,0.0,0.6052631578947368,2.316976
laplace,250,80,80,0.7,20,6,0.7071067811865475,190,0,190,186,0,186,0.0,1.0,0.0,0.9789473684210527,190,0,190,190,0,190,0.0,1.0,0.0,1.0,3.7594174811650123,114,0,114,0.0,0.6,3.500748290048529,145,0,145,0.0,0.7631578947368421,3.8209041852476915,109,0,109,0.0,0.5736842105263158,3.6033841036086796,132,0,132,0.0,0.6947368421052632,2.272008
laplace,250,80,80,0.7,20,7,0.7071067811865475,190,0,190,189,0,189,0.0,1.0,0.0,0.9947368421052631,190,0,190,189,0,189,0.0,1.0,0.0,0.9947368421052631,4.0248282184653315,37,0,37,0.0,0.19473684210526315,3.6949069614340804,70,0,70,0.0,0.3684210526315789,4.0248282184653315,37,0,37,0.0,0.19473684210526315,3.7187918826178143,69,0,69,0.0,0.3631578947368421,2.255893
laplace,250,80,80,0.7,20,8,0.7071067811865475,190,0,190,190,0,190,0.0,1.0,0.0,1.0,190,0,190,190,0,190,0.0,1.0,0.0,1.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,2.371311
laplace,250,80,80,0.7,20,9,0.7071067811865475,190,0,190,181,0,181,0.0,1.0,0.0,0.9526315789473684,190,0,190,183,0,183,0.0,1.0,0.0,0.9631578947368421,inf,0,0,0,0.0,0.0,3.9505089987228557,25,0,25,0.0,0.13157894736842105,inf,0,0,0,0.0,0.0,4.01196158846075,21,0,21,0.0,0.11052631578947368,2.318376
laplace,250,80,80,0.7,20,10,0.7071067811865475,188,0,188,175,0,175,0.0,0.9894736842105263,0.0,0.9210526315789473,190,0,190,181,0,181,0.0,1.0,0.0,0.9526315789473684,4.322862053698829,11,0,11,0.0,0.05789473684210526,3.909000061665371,33,0,33,0.0,0.1736842105263158,4.454029943604347,7,0,7,0.0,0.03684210526315789,3.909000061665371,33,0,33,0.0,0.1736842105263158,2.1706
laplace,250,80,80,0.7,20,11,0.7071067811865475,167,0,167,81,0,81,0.0,0.8789473684210526,0.0,0.4263157894736842,178,0,178,118,0,118,0.0,0.9368421052631579,0.0,0.6210526315789474,3.9228984647672327,56,0,56,0.0,0.29473684210526313,3.6575040800780148,85,0,85,0.0,0.4473684210526316,3.9469258837416623,55,0,55,0.0,0.2894736842105263,3.7346481469249984,72,0,72,0.0,0.37894736842105264,2.370452
