model,p,n1,n2,rho,block,seed,R_bh_0.05,V_bh_0.05,S_bh_0.05,R_by_0.05,V_by_0.05,S_by_0.05,fdr_bh_0.05,power_bh_0.05,fdr_by_0.05,power_by_0.05,R_bh_0.1,V_bh_0.1,S_bh_0.1,R_by_0.1,V_by_0.1,S_by_0.1,fdr_bh_0.1,power_bh_0.1,fdr_by_0.1,power_by_0.1,t_lct_0.05,R_lct_0.05,V_lct_0.05,S_lct_0.05,fdr_lct_0.05,power_lct_0.05,t_lct_0.1,R_lct_0.1,V_lct_0.1,S_lct_0.1,fdr_lct_0.1,power_lct_0.1,t_lctb_0.05_B100,R_lctb_0.05_B100,V_lctb_0.05_B100,S_lctb_0.05_B100,fdr_lctb_0.05_B100,power_lctb_0.05_B100,t_lctb_0.1_B100,R_lctb_0.1_B100,V_lctb_0.1_B100,S_lctb_0.1_B100,fdr_lctb_0.1_B100,power_lctb_0.1_B100,wall_time_s
gaussian,250,80,80,0.3,20,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1,0,0,0,0.5,0.005263157894736842,0.0,0.0,inf,0,0,0,0.0,0.0,4.594970449933383,2,1,1,0.5,0.005263157894736842,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,10.884757
gaussian,250,80,80,0.3,20,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4.867453326406475,1,1,0,1.0,0.0,4.867453326406475,1,1,0,1.0,0.0,4.867453326406475,1,1,0,1.0,0.0,4.867453326406475,1,1,0,1.0,0.0,9.761141
gaussian,250,80,80,0.3,20,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,9.813125
gaussian,250,80,80,0.3,20,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,4.555113828405356,2,1,1,0.5,0.005263157894736842,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,9.471776
gaussian,250,80,80,0.3,20,4,6,0,6,0,0,0,0.0,0.031578947368421054,0.0,0.0,10,0,10,2,0,2,0.0,0.05263157894736842,0.0,0.010526315789473684,4.889100709066146,1,0,1,0.0,0.005263157894736842,4.889100709066146,1,0,1,0.0,0.005263157894736842,inf,0,0,0,0.0,0.0,4.889100709066146,1,0,1,0.0,0.005263157894736842,9.620921
gaussian,250,80,80,0.3,20,5,7,0,7,0,0,0,0.0,0.03684210526315789,0.0,0.0,17,2,15,0,0,0,0.11764705882352941,0.07894736842105263,0.0,0.0,4.700727196081741,2,1,1,0.5,0.005263157894736842,4.700727196081741,2,1,1,0.5,0.005263157894736842,4.700727196081741,2,1,1,0.5,0.005263157894736842,4.700727196081741,2,1,1,0.5,0.005263157894736842,9.712031
gaussian,250,80,80,0.3,20,6,3,0,3,0,0,0,0.0,0.015789473684210527,0.0,0.0,4,0,4,0,0,0,0.0,0.021052631578947368,0.0,0.0,5.006968731541417,1,0,1,0.0,0.005263157894736842,5.006968731541417,1,0,1,0.0,0.005263157894736842,5.006968731541417,1,0,1,0.0,0.005263157894736842,5.006968731541417,1,0,1,0.0,0.005263157894736842,10.48293
gaussian,250,80,80,0.3,20,7,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,9.78863
gaussian,250,80,80,0.3,20,8,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,9.657704
gaussian,250,80,80,0.3,20,9,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,1,4,0,0,0,0.2,0.021052631578947368,0.0,0.0,4.604116363971312,3,1,2,0.3333333333333333,0.010526315789473684,4.604116363971312,3,1,2,0.3333333333333333,0.010526315789473684,inf,0,0,0,0.0,0.0,4.604116363971312,3,1,2,0.3333333333333333,0.010526315789473684,9.665408
gaussian,250,80,80,0.3,20,10,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,9.724765
gaussian,250,80,80,0.3,20,11,2,0,2,0,0,0,0.0,0.010526315789473684,0.0,0.0,2,0,2,0,0,0,0.0,0.010526315789473684,0.0,0.0,4.799036711396057,2,0,2,0.0,0.010526315789473684,4.545382712574171,3,1,2,0.3333333333333333,0.010526315789473684,4.799036711396057,2,0,2,0.0,0.010526315789473684,4.545382712574171,3,1,2,0.3333333333333333,0.010526315789473684,10.492264
gaussian,250,80,80,0.3,20,12,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,10.282283
gaussian,250,80,80,0.3,20,13,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,9.77199
gaussian,250,80,80,0.3,20,14,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,9.691191
gaussian,250,80,80,0.3,20,15,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,9.627802
gaussian,250,80,80,0.3,20,16,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,4.683365518263423,1,0,1,0.0,0.005263157894736842,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,9.488783
gaussian,250,80,80,0.3,20,17,3,0,3,0,0,0,0.0,0.015789473684210527,0.0,0.0,7,1,6,0,0,0,0.14285714285714285,0.031578947368421054,0.0,0.0,4.827938459337236,2,0,2,0.0,0.010526315789473684,4.265186323108824,7,1,6,0.14285714285714285,0.031578947368421054,4.827938459337236,2,0,2,0.0,0.010526315789473684,4.54110802122482,3,0,3,0.0,0.015789473684210527,9.722401
gaussian,250,80,80,0.3,20,18,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,9.848244
gaussian,250,80,80,0.3,20,19,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,2,4,0,0,0,0.3333333333333333,0.021052631578947368,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,9.740146
