model,p,n1,n2,rho,block,seed,k_df,R_bh_0.05,V_bh_0.05,S_bh_0.05,R_by_0.05,V_by_0.05,S_by_0.05,fdr_bh_0.05,power_bh_0.05,fdr_by_0.05,power_by_0.05,R_bh_0.1,V_bh_0.1,S_bh_0.1,R_by_0.1,V_by_0.1,S_by_0.1,fdr_bh_0.1,power_bh_0.1,fdr_by_0.1,power_by_0.1,t_lct_0.05,R_lct_0.05,V_lct_0.05,S_lct_0.05,fdr_lct_0.05,power_lct_0.05,t_lct_0.1,R_lct_0.1,V_lct_0.1,S_lct_0.1,fdr_lct_0.1,power_lct_0.1,t_lctb_0.05_B100,R_lctb_0.05_B100,V_lctb_0.05_B100,S_lctb_0.05_B100,fdr_lctb_0.05_B100,power_lctb_0.05_B100,t_lctb_0.1_B100,R_lctb_0.1_B100,V_lctb_0.1_B100,S_lctb_0.1_B100,fdr_lctb_0.1_B100,power_lctb_0.1_B100,wall_time_s
t,250,80,80,0.7,20,0,6,190,0,190,190,0,190,0.0,1.0,0.0,1.0,190,0,190,190,0,190,0.0,1.0,0.0,1.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,4.110510595843666,9,0,9,0.0,0.04736842105263158,2.758783
t,250,80,80,0.7,20,1,6,189,0,189,186,0,186,0.0,0.9947368421052631,0.0,0.9789473684210527,189,0,189,187,0,187,0.0,0.9947368421052631,0.0,0.9842105263157894,4.247859673080539,14,0,14,0.0,0.07368421052631578,3.8031408878405877,45,0,45,0.0,0.23684210526315788,4.019366698819282,25,0,25,0.0,0.13157894736842105,3.7254315283549233,50,0,50,0.0,0.2631578947368421,2.476527
t,250,80,80,0.7,20,2,6,189,0,189,184,0,184,0.0,0.9947368421052631,0.0,0.968421052631579,190,0,190,187,0,187,0.0,1.0,0.0,0.9842105263157894,4.391551762633554,8,0,8,0.0,0.042105263157894736,3.7899897107121907,47,0,47,0.0,0.24736842105263157,4.002876073454477,30,0,30,0.0,0.15789473684210525,3.720597975472908,55,0,55,0.0,0.2894736842105263,2.314392
t,250,80,80,0.7,20,3,6,183,0,183,167,0,167,0.0,0.9631578947368421,0.0,0.8789473684210526,187,0,187,177,0,177,0.0,0.9842105263157894,0.0,0.9315789473684211,4.200194432568019,22,0,22,0.0,0.11578947368421053,3.729091634888639,63,0,63,0.0,0.33157894736842103,4.022197473644481,28,0,28,0.0,0.14736842105263157,3.6499109519983413,69,0,69,0.0,0.3631578947368421,2.187106
t,250,80,80,0.7,20,4,6,190,0,190,189,0,189,0.0,1.0,0.0,0.9947368421052631,190,0,190,190,0,190,0.0,1.0,0.0,1.0,3.7121580177635343,134,0,134,0.0,0.7052631578947368,3.4807237697386877,157,0,157,0.0,0.8263157894736842,3.761459833107795,126,0,126,0.0,0.6631578947368421,3.526311782436393,154,0,154,0.0,0.8105263157894737,2.24004
t,250,80,80,0.7,20,5,6,190,0,190,190,0,190,0.0,1.0,0.0,1.0,190,0,190,190,0,190,0.0,1.0,0.0,1.0,3.6467885775421633,167,0,167,0.0,0.8789473684210526,3.4580973462272397,175,0,175,0.0,0.9210526315789473,3.692942726378089,162,0,162,0.0,0.8526315789473684,3.5282179996158614,173,0,173,0.0,0.9105263157894737,2.308882
t,250,80,80,0.7,20,6,6,190,0,190,184,0,184,0.0,1.0,0.0,0.968421052631579,190,0,190,186,0,186,0.0,1.0,0.0,0.9789473684210527,3.834783202744806,80,0,80,0.0,0.42105263157894735,3.6022474265017133,101,0,101,0.0,0.531578947368421,3.856552037931446,76,0,76,0.0,0.4,3.633596476143075,96,0,96,0.0,0.5052631578947369,2.470337
t,250,80,80,0.7,20,7,6,190,0,190,190,0,190,0.0,1.0,0.0,1.0,190,0,190,190,0,190,0.0,1.0,0.0,1.0,3.7754553456598283,101,0,101,0.0,0.531578947368421,3.521353146676499,134,0,134,0.0,0.7052631578947368,3.780938045793801,100,0,100,0.0,0.5263157894736842,3.5465746929366366,130,0,130,0.0,0.6842105263157895,2.362418
t,250,80,80,0.7,20,8,6,189,1,188,180,0,180,0.005291005291005291,0.9894736842105263,0.0,0.9473684210526315,191,2,189,186,0,186,0.010471204188481676,0.9947368421052631,0.0,0.9789473684210527,3.9504548640450716,50,0,50,0.0,0.2631578947368421,3.735441647039029,63,0,63,0.0,0.33157894736842103,3.7863725110295823,61,0,61,0.0,0.32105263157894737,3.5515006821604476,83,0,83,0.0,0.4368421052631579,2.313295
t,250,80,80,0.7,20,9,6,222,36,186,180,4,176,0.16216216216216217,0.9789473684210527,0.022222222222222223,0.9263157894736842,264,75,189,188,7,181,0.2840909090909091,0.9947368421052631,0.03723404255319149,0.9526315789473684,4.522686558069235,5,0,5,0.0,0.02631578947368421,3.9255028946740733,28,0,28,0.0,0.14736842105263157,3.9987949568135144,23,0,23,0.0,0.12105263157894737,3.7116237419688383,41,0,41,0.0,0.21578947368421053,2.231017
t,250,80,80,0.7,20,10,6,278,88,190,202,12,190,0.31654676258992803,1.0,0.0594059405940594,1.0,386,196,190,212,22,190,0.5077720207253886,1.0,0.10377358490566038,1.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,2.584223
t,250,80,80,0.7,20,11,6,184,0,184,152,0,152,0.0,0.968421052631579,0.0,0.8,187,0,187,166,0,166,0.0,0.9842105263157894,0.0,0.8736842105263158,4.12949094289425,25,0,25,0.0,0.13157894736842105,3.8762646024505982,34,0,34,0.0,0.17894736842105263,4.12949094289425,25,0,25,0.0,0.13157894736842105,3.8522002748907824,36,0,36,0.0,0.18947368421052632,2.204887
t,250,80,80,0.7,20,12,6,190,0,190,189,0,189,0.0,1.0,0.0,0.9947368421052631,190,0,190,189,0,189,0.0,1.0,0.0,0.9947368421052631,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,4.2923086588102635,4,0,4,0.0,0.021052631578947368,2.380306
t,250,80,80,0.7,20,13,6,197,10,187,167,1,166,0.050761421319796954,0.9842105263157894,0.005988023952095809,0.8736842105263158,207,18,189,181,3,178,0.08695652173913043,0.9947368421052631,0.016574585635359115,0.9368421052631579,4.870018418884196,1,0,1,0.0,0.005263157894736842,4.870018418884196,1,0,1,0.0,0.005263157894736842,4.870018418884196,1,0,1,0.0,0.005263157894736842,3.8111393384179966,31,0,31,0.0,0.1631578947368421,2.304626
t,250,80,80,0.7,20,14,6,187,0,187,169,0,169,0.0,0.9842105263157894,0.0,0.8894736842105263,188,0,188,175,0,175,0.0,0.9894736842105263,0.0,0.9210526315789473,3.8484465615513552,78,0,78,0.0,0.4105263157894737,3.5457001412163613,123,0,123,0.0,0.6473684210526316,3.738108109028892,95,0,95,0.0,0.5,3.51219549907039,128,0,128,0.0,0.6736842105263158,2.722076
t,250,80,80,0.7,20,15,6,76,0,76,12,0,12,0.0,0.4,0.0,0.06315789473684211,105,0,105,23,0,23,0.0,0.5526315789473685,0.0,0.12105263157894737,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,4.574403483450545,1,0,1,0.0,0.005263157894736842,4.085398342026927,11,0,11,0.0,0.05789473684210526,2.327884
t,250,80,80,0.7,20,16,6,190,0,190,186,0,186,0.0,1.0,0.0,0.9789473684210527,190,0,190,188,0,188,0.0,1.0,0.0,0.9894736842105263,4.520133989749518,4,0,4,0.0,0.021052631578947368,4.1973058457256105,9,0,9,0.0,0.04736842105263158,4.520133989749518,4,0,4,0.0,0.021052631578947368,4.1973058457256105,9,0,9,0.0,0.04736842105263158,2.286453
