model,p,n,rho,block,seed,R_bh_0.05,V_bh_0.05,S_bh_0.05,R_by_0.05,V_by_0.05,S_by_0.05,fdr_bh_0.05,power_bh_0.05,fdr_by_0.05,power_by_0.05,R_bh_0.1,V_bh_0.1,S_bh_0.1,R_by_0.1,V_by_0.1,S_by_0.1,fdr_bh_0.1,power_bh_0.1,fdr_by_0.1,power_by_0.1,t_lct_0.05,R_lct_0.05,V_lct_0.05,S_lct_0.05,fdr_lct_0.05,power_lct_0.05,t_lct_0.1,R_lct_0.1,V_lct_0.1,S_lct_0.1,fdr_lct_0.1,power_lct_0.1,t_lctb_0.05_B100,R_lctb_0.05_B100,V_lctb_0.05_B100,S_lctb_0.05_B100,fdr_lctb_0.05_B100,power_lctb_0.05_B100,t_lctb_0.1_B100,R_lctb_0.1_B100,V_lctb_0.1_B100,S_lctb_0.1_B100,fdr_lctb_0.1_B100,power_lctb_0.1_B100,wall_time_s
gaussian,250,120,0.3,20,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.401273563776183,1,0,1,0.0,0.005263157894736842,4.4546622490952394,4,3,1,0.75,0.005263157894736842,5.401273563776183,1,0,1,0.0,0.005263157894736842,4.4546622490952394,4,3,1,0.75,0.005263157894736842,9.450967
gaussian,250,120,0.3,20,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.141295439396289,1,0,1,0.0,0.005263157894736842,4.55431328311931,2,1,1,0.5,0.005263157894736842,5.141295439396289,1,0,1,0.0,0.005263157894736842,5.141295439396289,1,0,1,0.0,0.005263157894736842,9.263672
gaussian,250,120,0.3,20,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,9.186882
gaussian,250,120,0.3,20,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.048220227410679,1,0,1,0.0,0.005263157894736842,4.523314592662077,2,0,2,0.0,0.010526315789473684,5.048220227410679,1,0,1,0.0,0.005263157894736842,4.418058578803077,3,0,3,0.0,0.015789473684210527,9.208795
gaussian,250,120,0.3,20,4,10,0,10,0,0,0,0.0,0.05263157894736842,0.0,0.0,20,2,18,2,0,2,0.1,0.09473684210526316,0.0,0.010526315789473684,4.451907857855353,6,0,6,0.0,0.031578947368421054,4.451907857855353,6,0,6,0.0,0.031578947368421054,4.6315992371215815,4,0,4,0.0,0.021052631578947368,4.451907857855353,6,0,6,0.0,0.031578947368421054,9.125771
gaussian,250,120,0.3,20,5,26,0,26,7,0,7,0.0,0.1368421052631579,0.0,0.03684210526315789,40,3,37,7,0,7,0.075,0.19473684210526315,0.0,0.03684210526315789,4.4981390911831705,6,0,6,0.0,0.031578947368421054,4.026922295204185,18,2,16,0.1111111111111111,0.08421052631578947,4.4981390911831705,6,0,6,0.0,0.031578947368421054,4.1621586826847015,13,1,12,0.07692307692307693,0.06315789473684211,9.297085
gaussian,250,120,0.3,20,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4.807458227117809,1,1,0,1.0,0.0,4.807458227117809,1,1,0,1.0,0.0,inf,0,0,0,0.0,0.0,4.807458227117809,1,1,0,1.0,0.0,9.121361
gaussian,250,120,0.3,20,7,11,0,11,0,0,0,0.0,0.05789473684210526,0.0,0.0,30,2,28,4,0,4,0.06666666666666667,0.14736842105263157,0.0,0.021052631578947368,5.006191510568189,1,0,1,0.0,0.005263157894736842,4.199742330997137,9,0,9,0.0,0.04736842105263158,5.006191510568189,1,0,1,0.0,0.005263157894736842,4.4251064249849685,4,0,4,0.0,0.021052631578947368,9.322887
gaussian,250,120,0.3,20,8,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,9.118095
gaussian,250,120,0.3,20,9,4,0,4,0,0,0,0.0,0.021052631578947368,0.0,0.0,4,0,4,0,0,0,0.0,0.021052631578947368,0.0,0.0,4.5354476683711376,4,0,4,0.0,0.021052631578947368,4.353801263826692,5,0,5,0.0,0.02631578947368421,4.797437263510662,3,0,3,0.0,0.015789473684210527,4.353801263826692,5,0,5,0.0,0.02631578947368421,8.972386
gaussian,250,120,0.3,20,10,5,1,4,0,0,0,0.2,0.021052631578947368,0.0,0.0,11,4,7,0,0,0,0.36363636363636365,0.03684210526315789,0.0,0.0,4.610073351751115,4,0,4,0.0,0.021052631578947368,4.337916417588183,5,0,5,0.0,0.02631578947368421,4.610073351751115,4,0,4,0.0,0.021052631578947368,4.610073351751115,4,0,4,0.0,0.021052631578947368,9.199711
gaussian,250,120,0.3,20,11,4,1,3,0,0,0,0.25,0.015789473684210527,0.0,0.0,4,1,3,0,0,0,0.25,0.015789473684210527,0.0,0.0,4.515683794102961,4,1,3,0.25,0.015789473684210527,4.426634259987335,5,1,4,0.2,0.021052631578947368,4.515683794102961,4,1,3,0.25,0.015789473684210527,4.426634259987335,5,1,4,0.2,0.021052631578947368,9.028927
gaussian,250,120,0.3,20,12,2,0,2,0,0,0,0.0,0.010526315789473684,0.0,0.0,3,0,3,0,0,0,0.0,0.015789473684210527,0.0,0.0,inf,0,0,0,0.0,0.0,4.7246039198155945,1,0,1,0.0,0.005263157894736842,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,8.973453
gaussian,250,120,0.3,20,13,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,9.056665
gaussian,250,120,0.3,20,14,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,8.951328
gaussian,250,120,0.3,20,15,5,1,4,0,0,0,0.2,0.021052631578947368,0.0,0.0,8,2,6,0,0,0,0.25,0.031578947368421054,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,9.251955
gaussian,250,120,0.3,20,16,2,0,2,0,0,0,0.0,0.010526315789473684,0.0,0.0,2,0,2,0,0,0,0.0,0.010526315789473684,0.0,0.0,5.562753743897691,1,0,1,0.0,0.005263157894736842,4.612360679368896,2,1,1,0.5,0.005263157894736842,5.562753743897691,1,0,1,0.0,0.005263157894736842,4.612360679368896,2,1,1,0.5,0.005263157894736842,8.897378
gaussian,250,120,0.3,20,17,5,1,4,0,0,0,0.2,0.021052631578947368,0.0,0.0,12,3,9,0,0,0,0.25,0.04736842105263158,0.0,0.0,inf,0,0,0,0.0,0.0,4.302239980068311,6,1,5,0.16666666666666666,0.02631578947368421,inf,0,0,0,0.0,0.0,4.34667661812453,5,1,4,0.2,0.021052631578947368,9.576429
gaussian,250,120,0.3,20,18,2,0,2,0,0,0,0.0,0.010526315789473684,0.0,0.0,7,1,6,0,0,0,0.14285714285714285,0.031578947368421054,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,8.909052
gaussian,250,120,0.3,20,19,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4.781957761958218,2,0,2,0.0,0.010526315789473684,4.781957761958218,2,0,2,0.0,0.010526315789473684,4.781957761958218,2,0,2,0.0,0.010526315789473684,4.781957761958218,2,0,2,0.0,0.010526315789473684,9.127742
