                                                                        file  Avg_wall_time_s  mean_fdr_bh_0.05  mean_power_bh_0.05  mean_fdr_by_0.05  mean_power_by_0.05  mean_fdr_bh_0.1  mean_power_bh_0.1  mean_fdr_by_0.1  mean_power_by_0.1  mean_fdr_lct_0.05  mean_power_lct_0.05  mean_fdr_lct_0.1  mean_power_lct_0.1  mean_fdr_lctb_0.05_B100  mean_power_lctb_0.05_B100  mean_fdr_lctb_0.1_B100  mean_power_lctb_0.1_B100    model     p    n1    n2  rho  block  reps  mean_fdr_lct_cai_liu_0.05  mean_power_lct_cai_liu_0.05  mean_fdr_lct_cai_liu_0.1  mean_power_lct_cai_liu_0.1  mean_fdr_lct_gaussian_0.05  mean_power_lct_gaussian_0.05  mean_fdr_lct_gaussian_0.1  mean_power_lct_gaussian_0.1  mean_fdr_lct_jackknife_0.05  mean_power_lct_jackknife_0.05  mean_fdr_lct_jackknife_0.1  mean_power_lct_jackknife_0.1
                  results/tables/power_gaussian_p250_n120_rho0.6_b20_R20.csv         1.600587          0.047956            0.955526          0.004834            0.860789         0.099107           0.972368         0.009454           0.898421           0.051225             0.990000          0.107538            0.994211                 0.041598                   0.989474                0.090859                  0.992895      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                  results/tables/power_gaussian_p250_n120_rho0.7_b20_R20.csv         1.602995          0.047190            0.999474          0.003936            0.995526         0.094742           0.999737         0.008320           0.997895           0.049339             1.000000          0.101501            1.000000                 0.038109                   1.000000                0.085283                  1.000000      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                  results/tables/power_gaussian_p250_n120_rho0.8_b20_R20.csv         1.615216          0.047406            1.000000          0.004178            1.000000         0.095042           1.000000         0.009068           1.000000           0.049811             1.000000          0.102316            1.000000                 0.033985                   1.000000                0.078654                  1.000000      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                  results/tables/power_gaussian_p250_n200_rho0.5_b20_R20.csv         1.841681          0.057655            0.969474          0.005542            0.887632         0.110827           0.981579         0.010233           0.916316           0.058925             0.988684          0.111778            0.993421                 0.054263                   0.988421                0.104617                  0.993421      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                  results/tables/power_gaussian_p250_n200_rho0.6_b20_R20.csv         1.886647          0.055469            0.999737          0.005998            0.996316         0.110354           0.999737         0.011413           0.997632           0.057777             1.000000          0.110797            1.000000                 0.050133                   0.999737                0.101071                  1.000000      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                  results/tables/power_gaussian_p250_n200_rho0.7_b20_R20.csv         1.863782          0.055474            1.000000          0.005198            1.000000         0.110116           1.000000         0.010353           1.000000           0.057078             1.000000          0.109879            1.000000                 0.048418                   1.000000                0.097002                  1.000000      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                  results/tables/power_gaussian_p250_n200_rho0.8_b20_R20.csv         1.867920          0.055713            1.000000          0.005454            1.000000         0.109010           1.000000         0.010606           1.000000           0.056862             1.000000          0.108612            1.000000                 0.042676                   1.000000                0.091700                  1.000000      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                   results/tables/power_gaussian_p250_n80_rho0.5_b20_R20.csv         1.543727          0.062397            0.281842          0.003241            0.090789         0.114082           0.364211         0.009861           0.132105           0.071435             0.569474          0.116171            0.618421                 0.039895                   0.533947                0.097557                  0.596579      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                   results/tables/power_gaussian_p250_n80_rho0.6_b20_R20.csv         1.533303          0.065274            0.682632          0.007350            0.433684         0.108280           0.750263         0.014612           0.503421           0.067923             0.880526          0.123207            0.904737                 0.050633                   0.866579                0.091088                  0.896579      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                   results/tables/power_gaussian_p250_n80_rho0.7_b20_R20.csv         1.489980          0.056261            0.937632          0.006956            0.832895         0.108477           0.959474         0.012950           0.871316           0.064592             0.990789          0.117723            0.994474                 0.044659                   0.988421                0.085795                  0.993158      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                   results/tables/power_gaussian_p250_n80_rho0.8_b20_R20.csv         1.487981          0.058174            0.997368          0.006844            0.990526         0.107614           0.998158         0.013007           0.992632           0.064674             0.999474          0.117781            0.999737                 0.040300                   0.998947                0.078583                  0.999737      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                      results/tables/power_nmix_p250_n120_rho0.5_b20_R20.csv         1.568667          0.739178            0.732368          0.343937            0.475263         0.848031           0.812368         0.442659           0.543947           0.070881             0.514737          0.122769            0.552105                 0.052778                   0.456053                0.089380                  0.530263      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                      results/tables/power_nmix_p250_n120_rho0.6_b20_R20.csv         1.573277          0.705363            0.922895          0.278247            0.784474         0.828723           0.955789         0.381358           0.826842           0.063693             0.848947          0.107048            0.872632                 0.042710                   0.827895                0.082870                  0.860526      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                      results/tables/power_nmix_p250_n120_rho0.7_b20_R20.csv         1.584114          0.694021            0.993421          0.256705            0.965526         0.823877           0.998158         0.360810           0.975789           0.060230             0.984737          0.106847            0.990263                 0.038073                   0.980526                0.078177                  0.987368      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                      results/tables/power_nmix_p250_n120_rho0.8_b20_R20.csv         1.583317          0.692657            1.000000          0.254681            0.999211         0.823661           1.000000         0.357063           0.999474           0.059643             0.999737          0.107612            1.000000                 0.034497                   0.999737                0.070102                  0.999737      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                      results/tables/power_nmix_p250_n200_rho0.5_b20_R20.csv         1.818994          0.690617            0.943684          0.264795            0.827368         0.823044           0.971579         0.362746           0.861316           0.046107             0.824474          0.100825            0.860000                 0.034489                   0.815526                0.084326                  0.850526      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                      results/tables/power_nmix_p250_n200_rho0.6_b20_R20.csv         1.943995          0.683129            0.995526          0.247502            0.977632         0.819705           0.995789         0.345970           0.987105           0.046127             0.983158          0.105862            0.987632                 0.037035                   0.981316                0.086260                  0.987368      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                      results/tables/power_nmix_p250_n200_rho0.7_b20_R20.csv         1.814798          0.682611            1.000000          0.247987            0.998158         0.819783           1.000000         0.344233           0.999474           0.047230             0.999474          0.106181            0.999737                 0.035174                   0.999211                0.082135                  0.999737      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                      results/tables/power_nmix_p250_n200_rho0.8_b20_R20.csv         1.835890          0.682017            1.000000          0.246689            1.000000         0.820403           1.000000         0.345095           1.000000           0.048454             1.000000          0.105615            1.000000                 0.031486                   1.000000                0.075014                  1.000000      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                       results/tables/power_nmix_p250_n80_rho0.5_b20_R20.csv         1.528805          0.821011            0.471842          0.509607            0.210789         0.892831           0.605000         0.595014           0.269474           0.189153             0.266316          0.241222            0.296316                 0.040761                   0.085000                0.083912                  0.169211      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                       results/tables/power_nmix_p250_n80_rho0.6_b20_R20.csv         1.476814          0.765189            0.735000          0.382691            0.459474         0.864402           0.823684         0.484209           0.535263           0.123197             0.591579          0.175982            0.634474                 0.039955                   0.413684                0.085073                  0.532632      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                       results/tables/power_nmix_p250_n80_rho0.7_b20_R20.csv         1.460004          0.732648            0.925526          0.313755            0.778947         0.848527           0.960526         0.412930           0.818947           0.100821             0.886053          0.159229            0.900526                 0.034828                   0.810526                0.084724                  0.874211      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                       results/tables/power_nmix_p250_n80_rho0.8_b20_R20.csv         1.482221          0.722376            0.992632          0.286201            0.965789         0.844031           0.998684         0.387207           0.975263           0.096505             0.992632          0.154564            0.994211                 0.031906                   0.983158                0.079918                  0.990000      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
results/tables/robust_gaussian_p250_covblock_ar1_n120_120_rho0.6_b20_R15.csv         1.822530          0.038651            0.097544          0.013968            0.077895         0.079442           0.105614         0.013373           0.082105                NaN                  NaN               NaN                 NaN                 0.029241                   0.116491                0.076303                  0.122105      NaN   NaN   NaN   NaN  NaN    NaN   NaN                   0.040892                     0.118596                  0.096617                    0.122456                    0.038269                      0.118246                   0.081540                     0.122105                     0.048045                       0.051579                    0.069191                      0.063158
results/tables/robust_gaussian_p250_covblock_ar1_n120_120_rho0.7_b20_R15.csv         1.884996          0.043141            0.159298          0.002381            0.130877         0.093795           0.167719         0.007231           0.139649                NaN                  NaN               NaN                 NaN                 0.038992                   0.188070                0.082296                  0.196842      NaN   NaN   NaN   NaN  NaN    NaN   NaN                   0.045875                     0.191579                  0.098726                    0.199298                    0.041134                      0.189474                   0.086891                     0.197193                     0.023086                       0.114737                    0.095450                      0.132281
 results/tables/robust_gaussian_p250_covblock_ar1_n120_80_rho0.6_b20_R15.csv         1.726073          0.058290            0.073684          0.014074            0.044912         0.103554           0.083509         0.023232           0.053333                NaN                  NaN               NaN                 NaN                 0.052072                   0.102456                0.093825                  0.108070      NaN   NaN   NaN   NaN  NaN    NaN   NaN                   0.083495                     0.106316                  0.125986                    0.110526                    0.078828                      0.105965                   0.120052                     0.109123                     0.031667                       0.017895                    0.050128                      0.023860
 results/tables/robust_gaussian_p250_covblock_ar1_n120_80_rho0.7_b20_R15.csv         1.762249          0.032618            0.132632          0.006734            0.106667         0.086408           0.141404         0.008701           0.113333                NaN                  NaN               NaN                 NaN                 0.044313                   0.163860                0.075621                  0.171930      NaN   NaN   NaN   NaN  NaN    NaN   NaN                   0.052341                     0.169474                  0.103329                    0.175789                    0.049416                      0.165263                   0.086528                     0.171930                     0.035133                       0.067719                    0.075309                      0.083158
 results/tables/robust_gaussian_p250_covblock_ar1_n80_120_rho0.6_b20_R15.csv         1.490655          0.036028            0.071579          0.000000            0.039649         0.105995           0.083509         0.012222           0.045965                NaN                  NaN               NaN                 NaN                 0.033261                   0.099298                0.083799                  0.106667      NaN   NaN   NaN   NaN  NaN    NaN   NaN                   0.076958                     0.105263                  0.136340                    0.110877                    0.053249                      0.104211                   0.102193                     0.109123                     0.041111                       0.025614                    0.069524                      0.033333
 results/tables/robust_gaussian_p250_covblock_ar1_n80_120_rho0.7_b20_R15.csv         1.738189          0.047112            0.129474          0.000000            0.101053         0.097853           0.142105         0.000000           0.109825                NaN                  NaN               NaN                 NaN                 0.043303                   0.163509                0.090640                  0.172632      NaN   NaN   NaN   NaN  NaN    NaN   NaN                   0.072830                     0.170175                  0.127187                    0.177895                    0.064639                      0.168772                   0.102350                     0.174737                     0.036893                       0.072632                    0.068451                      0.089825
  results/tables/robust_gaussian_p250_covblock_ar1_n80_80_rho0.6_b20_R15.csv         1.765094          0.060803            0.052281          0.011111            0.025965         0.090270           0.058596         0.018519           0.029474                NaN                  NaN               NaN                 NaN                 0.045861                   0.082807                0.092323                  0.094737      NaN   NaN   NaN   NaN  NaN    NaN   NaN                   0.098649                     0.095088                  0.126348                    0.098246                    0.080608                      0.092982                   0.113425                     0.095439                     0.043333                       0.012982                    0.080159                      0.016491
  results/tables/robust_gaussian_p250_covblock_ar1_n80_80_rho0.7_b20_R15.csv         1.639306          0.059302            0.110175          0.000000            0.079298         0.085124           0.118596         0.003922           0.090526                NaN                  NaN               NaN                 NaN                 0.049635                   0.145965                0.095528                  0.155439      NaN   NaN   NaN   NaN  NaN    NaN   NaN                   0.087230                     0.154386                  0.117443                    0.159649                    0.075094                      0.152632                   0.096975                     0.156491                     0.029304                       0.033684                    0.084263                      0.044912
                         results/tables/t_p250_n80_80_rho0.7_b20_R20_df6.csv         1.263184          0.612032            0.943684          0.268003            0.828684         0.746089           0.966579         0.348099           0.861316           0.151491             0.938421          0.221479            0.948947                 0.061833                   0.867105                0.105483                  0.915263        t 250.0  80.0  80.0 0.70   20.0  20.0                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                      results/tables/t_p500_n120_120_rho0.65_b20_R20_df6.csv        11.682844          0.796052            0.974211          0.369936            0.887632         0.899185           0.985789         0.463830           0.911316           0.131528             0.937632          0.203054            0.948421                 0.059351                   0.898684                0.101869                  0.923158        t 500.0 120.0 120.0 0.65   20.0  20.0                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
