marginal,n,kappa_true,kappa_mean,kappa_sd,bias,rel_bias
gaussian,50,1.0,0.9588920879321392,0.019484731911406084,-0.0411079120678608,-0.0411079120678608
gaussian,80,1.0,0.9732311582044456,0.016677596038558524,-0.026768841795554388,-0.026768841795554388
gaussian,120,1.0,0.9820312884986626,0.013369436072910888,-0.017968711501337387,-0.017968711501337387
gaussian,200,1.0,0.9892495004305693,0.010060743956850377,-0.01075049956943075,-0.01075049956943075
gaussian,500,1.0,0.9955398773462594,0.006974779530467251,-0.004460122653740628,-0.004460122653740628
gaussian,2000,1.0,0.9990762597742067,0.003644285823756305,-0.0009237402257933347,-0.0009237402257933347
t6,50,2.0,1.3985471151148385,0.07367566148738185,-0.6014528848851615,-0.30072644244258073
t6,80,2.0,1.5151980198723294,0.08372537217174791,-0.4848019801276706,-0.2424009900638353
t6,120,2.0,1.6044542472775,0.09341421608482318,-0.3955457527224999,-0.19777287636124996
t6,200,2.0,1.6956379903115464,0.0985101635899044,-0.3043620096884536,-0.1521810048442268
t6,500,2.0,1.8201682726429749,0.11226535581325744,-0.17983172735702513,-0.08991586367851256
t6,2000,2.0,1.9493027029552223,0.2268730685515804,-0.050697297044777656,-0.025348648522388828
t8,50,1.5,1.24527924956535,0.04965457527691652,-0.25472075043465003,-0.1698138336231
t8,80,1.5,1.3125910890108077,0.04990890669420395,-0.18740891098919232,-0.12493927399279488
t8,120,1.5,1.3559069423962926,0.052740614627116426,-0.1440930576037074,-0.09606203840247159
t8,200,1.5,1.399427828907492,0.04850648242503636,-0.10057217109250804,-0.06704811406167203
t8,500,1.5,1.4539805638300072,0.04288065369014299,-0.04601943616999282,-0.030679624113328547
t8,2000,1.5,1.4889553860325544,0.04052995416237904,-0.011044613967445605,-0.007363075978297069
exp_cl,50,3.0,2.045898874380721,0.1182337425201204,-0.9541011256192791,-0.3180337085397597
exp_cl,80,3.0,2.2849816401752663,0.13409172088569976,-0.7150183598247337,-0.23833945327491124
exp_cl,120,3.0,2.4667659198777243,0.1440899456835768,-0.5332340801222757,-0.1777446933740919
exp_cl,200,3.0,2.639725075962557,0.13166758875784718,-0.360274924037443,-0.12009164134581433
exp_cl,500,3.0,2.8402115566486685,0.10439154046188324,-0.15978844335133147,-0.05326281445044382
exp_cl,2000,3.0,2.9524406085963237,0.059250831222031564,-0.047559391403676265,-0.01585313046789209
nmix,50,1.8,1.5775757807741146,0.13555563975084636,-0.2224242192258854,-0.12356901068104745
nmix,80,1.8,1.6452588412542715,0.11489747081697525,-0.15474115874572858,-0.08596731041429366
nmix,120,1.8,1.695425612399572,0.09790416452680967,-0.10457438760042814,-0.058096882000237854
nmix,200,1.8,1.7399981083851686,0.07895831346619088,-0.06000189161483149,-0.03333438423046194
nmix,500,1.8,1.7738273759262482,0.05329814732478901,-0.02617262407375187,-0.014540346707639928
nmix,2000,1.8,1.795708822385115,0.029155531420149147,-0.004291177614885067,-0.002383987563825037
