file,model,p,n,rho,alpha,method,mean,se
power_gaussian_p250_n200_rho0.6_b20_R20.csv,gaussian,250,200,0.6,0.05,BH,0.999736842105263,0.0002631578947368374
power_gaussian_p250_n200_rho0.6_b20_R20.csv,gaussian,250,200,0.6,0.05,BY,0.9963157894736842,0.0009430495584791766
power_gaussian_p250_n200_rho0.6_b20_R20.csv,gaussian,250,200,0.6,0.05,LCT-B,1.0,
power_gaussian_p250_n200_rho0.6_b20_R20.csv,gaussian,250,200,0.6,0.05,LCT-N,1.0,0.0
power_gaussian_p250_n200_rho0.7_b20_R20.csv,gaussian,250,200,0.7,-,BH,1.0,0.0
power_gaussian_p250_n200_rho0.7_b20_R20.csv,gaussian,250,200,0.7,-,BY,1.0,0.0
power_gaussian_p250_n200_rho0.7_b20_R20.csv,gaussian,250,200,0.7,-,LCT-B,1.0,
power_gaussian_p250_n200_rho0.7_b20_R20.csv,gaussian,250,200,0.7,-,LCT-N,1.0,0.0
power_gaussian_p250_n200_rho0.7_b20_R20.csv,gaussian,250,200,0.7,0.05,BH,1.0,0.0
power_gaussian_p250_n200_rho0.7_b20_R20.csv,gaussian,250,200,0.7,0.05,BY,1.0,0.0
power_gaussian_p250_n200_rho0.7_b20_R20.csv,gaussian,250,200,0.7,0.05,LCT-B,1.0,
power_gaussian_p250_n200_rho0.7_b20_R20.csv,gaussian,250,200,0.7,0.05,LCT-N,1.0,0.0
power_gaussian_p250_n200_rho0.8_b20_R20.csv,gaussian,250,200,0.8,-,BH,1.0,0.0
power_gaussian_p250_n200_rho0.8_b20_R20.csv,gaussian,250,200,0.8,-,BY,1.0,0.0
power_gaussian_p250_n200_rho0.8_b20_R20.csv,gaussian,250,200,0.8,-,LCT-B,1.0,
power_gaussian_p250_n200_rho0.8_b20_R20.csv,gaussian,250,200,0.8,-,LCT-N,1.0,0.0
power_gaussian_p250_n200_rho0.8_b20_R20.csv,gaussian,250,200,0.8,0.05,BH,1.0,0.0
power_gaussian_p250_n200_rho0.8_b20_R20.csv,gaussian,250,200,0.8,0.05,BY,1.0,0.0
power_gaussian_p250_n200_rho0.8_b20_R20.csv,gaussian,250,200,0.8,0.05,LCT-B,1.0,
power_gaussian_p250_n200_rho0.8_b20_R20.csv,gaussian,250,200,0.8,0.05,LCT-N,1.0,0.0
power_gaussian_p250_n80_rho0.5_b20_R20.csv,gaussian,250,80,0.5,-,BH,0.36421052631578943,0.04377173090364613
