file,model,p,n,rho,alpha,method,mean,se
power_gaussian_p250_n200_rho0.6_b20_R20.csv,gaussian,250,200,0.6,-,LCT-B,0.0594059405940594,
power_gaussian_p250_n200_rho0.6_b20_R20.csv,gaussian,250,200,0.6,-,LCT-N,0.11079670365467031,0.0038213825414039736
power_gaussian_p250_n200_rho0.6_b20_R20.csv,gaussian,250,200,0.6,0.05,BH,0.05546888701466278,0.0032331016168296546
power_gaussian_p250_n200_rho0.6_b20_R20.csv,gaussian,250,200,0.6,0.05,BY,0.005997961338312285,0.0013186463560489969
power_gaussian_p250_n200_rho0.6_b20_R20.csv,gaussian,250,200,0.6,0.05,LCT-B,0.0306122448979591,
power_gaussian_p250_n200_rho0.6_b20_R20.csv,gaussian,250,200,0.6,0.05,LCT-N,0.057777352692375994,0.0033752267918869456
power_gaussian_p250_n200_rho0.7_b20_R20.csv,gaussian,250,200,0.7,-,BH,0.11011586762684171,0.0041253723038510385
power_gaussian_p250_n200_rho0.7_b20_R20.csv,gaussian,250,200,0.7,-,BY,0.010352687851249095,0.0018191900274998223
power_gaussian_p250_n200_rho0.7_b20_R20.csv,gaussian,250,200,0.7,-,LCT-B,0.0686274509803921,
power_gaussian_p250_n200_rho0.7_b20_R20.csv,gaussian,250,200,0.7,-,LCT-N,0.10987876349115804,0.004271827060653637
power_gaussian_p250_n200_rho0.7_b20_R20.csv,gaussian,250,200,0.7,0.05,BH,0.05547367791209279,0.0030890422792165867
power_gaussian_p250_n200_rho0.7_b20_R20.csv,gaussian,250,200,0.7,0.05,BY,0.005197636888393175,0.0014060048201939418
power_gaussian_p250_n200_rho0.7_b20_R20.csv,gaussian,250,200,0.7,0.05,LCT-B,0.0355329949238578,
power_gaussian_p250_n200_rho0.7_b20_R20.csv,gaussian,250,200,0.7,0.05,LCT-N,0.05707752662880837,0.003364866731456791
power_gaussian_p250_n200_rho0.8_b20_R20.csv,gaussian,250,200,0.8,-,BH,0.10901025179587276,0.003226577527141025
power_gaussian_p250_n200_rho0.8_b20_R20.csv,gaussian,250,200,0.8,-,BY,0.01060641361376178,0.001874161055212902
power_gaussian_p250_n200_rho0.8_b20_R20.csv,gaussian,250,200,0.8,-,LCT-B,0.0547263681592039,
power_gaussian_p250_n200_rho0.8_b20_R20.csv,gaussian,250,200,0.8,-,LCT-N,0.1086118791846414,0.003074241924557369
power_gaussian_p250_n200_rho0.8_b20_R20.csv,gaussian,250,200,0.8,0.05,BH,0.05571255440500974,0.0030536437765573327
power_gaussian_p250_n200_rho0.8_b20_R20.csv,gaussian,250,200,0.8,0.05,BY,0.005454005627598705,0.0014776387169795483
power_gaussian_p250_n200_rho0.8_b20_R20.csv,gaussian,250,200,0.8,0.05,LCT-B,0.0206185567010309,
power_gaussian_p250_n200_rho0.8_b20_R20.csv,gaussian,250,200,0.8,0.05,LCT-N,0.05686214620718982,0.003224431240134522
power_gaussian_p250_n80_rho0.5_b20_R20.csv,gaussian,250,80,0.5,-,BH,0.11408165245180697,0.018485722315843396
power_gaussian_p250_n80_rho0.5_b20_R20.csv,gaussian,250,80,0.5,-,BY,0.009860843483403865,0.002970139109157945
power_gaussian_p250_n80_rho0.5_b20_R20.csv,gaussian,250,80,0.5,-,LCT-B,0.0434782608695652,
power_gaussian_p250_n80_rho0.5_b20_R20.csv,gaussian,250,80,0.5,-,LCT-N,0.11617068051426796,0.006532064022733006
power_gaussian_p250_n80_rho0.5_b20_R20.csv,gaussian,250,80,0.5,0.05,BH,0.062396705695886734,0.013356884223572927
power_gaussian_p250_n80_rho0.5_b20_R20.csv,gaussian,250,80,0.5,0.05,BY,0.003240740740740735,0.0022555773212315257
power_gaussian_p250_n80_rho0.5_b20_R20.csv,gaussian,250,80,0.5,0.05,LCT-B,0.0,
power_gaussian_p250_n80_rho0.5_b20_R20.csv,gaussian,250,80,0.5,0.05,LCT-N,0.07143480148302297,0.00964262167020059
power_gaussian_p250_n80_rho0.6_b20_R20.csv,gaussian,250,80,0.6,-,BH,0.10828006305190505,0.0055474230827140675
power_gaussian_p250_n80_rho0.6_b20_R20.csv,gaussian,250,80,0.6,-,BY,0.014611525397520014,0.002966834735572143
power_gaussian_p250_n80_rho0.6_b20_R20.csv,gaussian,250,80,0.6,-,LCT-B,0.072,
power_gaussian_p250_n80_rho0.6_b20_R20.csv,gaussian,250,80,0.6,-,LCT-N,0.12320701348168636,0.004886002787297812
power_gaussian_p250_n80_rho0.6_b20_R20.csv,gaussian,250,80,0.6,0.05,BH,0.06527357150018923,0.006611243427725523
power_gaussian_p250_n80_rho0.6_b20_R20.csv,gaussian,250,80,0.6,0.05,BY,0.00735046606562028,0.0015906483623665804
power_gaussian_p250_n80_rho0.6_b20_R20.csv,gaussian,250,80,0.6,0.05,LCT-B,0.0272727272727272,
power_gaussian_p250_n80_rho0.6_b20_R20.csv,gaussian,250,80,0.6,0.05,LCT-N,0.06792257165226374,0.00323942714975831
power_gaussian_p250_n80_rho0.7_b20_R20.csv,gaussian,250,80,0.7,-,BH,0.10847723633223097,0.004959099555651652
power_gaussian_p250_n80_rho0.7_b20_R20.csv,gaussian,250,80,0.7,-,BY,0.012950286309020755,0.0024257409747582004
power_gaussian_p250_n80_rho0.7_b20_R20.csv,gaussian,250,80,0.7,-,LCT-B,0.1100478468899521,
power_gaussian_p250_n80_rho0.7_b20_R20.csv,gaussian,250,80,0.7,-,LCT-N,0.11772342743077538,0.004428694800660993
power_gaussian_p250_n80_rho0.7_b20_R20.csv,gaussian,250,80,0.7,0.05,BH,0.0562607773948398,0.0032281543785457065
power_gaussian_p250_n80_rho0.7_b20_R20.csv,gaussian,250,80,0.7,0.05,BY,0.0069564001372550395,0.001752657465164288
power_gaussian_p250_n80_rho0.7_b20_R20.csv,gaussian,250,80,0.7,0.05,LCT-B,0.0481283422459893,
power_gaussian_p250_n80_rho0.7_b20_R20.csv,gaussian,250,80,0.7,0.05,LCT-N,0.06459203353539046,0.003697317879484987
power_gaussian_p250_n80_rho0.8_b20_R20.csv,gaussian,250,80,0.8,-,BH,0.10761418653609911,0.004082879666108866
power_gaussian_p250_n80_rho0.8_b20_R20.csv,gaussian,250,80,0.8,-,BY,0.01300733078055417,0.0020874623395794904
power_gaussian_p250_n80_rho0.8_b20_R20.csv,gaussian,250,80,0.8,-,LCT-B,0.107981220657277,
power_gaussian_p250_n80_rho0.8_b20_R20.csv,gaussian,250,80,0.8,-,LCT-N,0.11778058046528536,0.004192972913114372
power_gaussian_p250_n80_rho0.8_b20_R20.csv,gaussian,250,80,0.8,0.05,BH,0.05817366371404219,0.003540204190889432
power_gaussian_p250_n80_rho0.8_b20_R20.csv,gaussian,250,80,0.8,0.05,BY,0.006843635947127795,0.0012842962728620718
power_gaussian_p250_n80_rho0.8_b20_R20.csv,gaussian,250,80,0.8,0.05,LCT-B,0.055,
power_gaussian_p250_n80_rho0.8_b20_R20.csv,gaussian,250,80,0.8,0.05,LCT-N,0.06467418918153764,0.004006045362519572
power_nmix_p250_n120_rho0.5_b20_R20.csv,nmix,250,120,0.5,-,BH,0.8480314616560619,0.006058232856634821
power_nmix_p250_n120_rho0.5_b20_R20.csv,nmix,250,120,0.5,-,BY,0.44265914640582815,0.015678374773001155
power_nmix_p250_n120_rho0.5_b20_R20.csv,nmix,250,120,0.5,-,LCT-B,0.0746268656716417,
power_nmix_p250_n120_rho0.5_b20_R20.csv,nmix,250,120,0.5,-,LCT-N,0.12276897088265344,0.006013178264206152
power_nmix_p250_n120_rho0.5_b20_R20.csv,nmix,250,120,0.5,0.05,BH,0.7391783612678948,0.010504773506840067
power_nmix_p250_n120_rho0.5_b20_R20.csv,nmix,250,120,0.5,0.05,BY,0.3439370789971547,0.01725104230281514
power_nmix_p250_n120_rho0.5_b20_R20.csv,nmix,250,120,0.5,0.05,LCT-B,0.0277777777777777,
power_nmix_p250_n120_rho0.5_b20_R20.csv,nmix,250,120,0.5,0.05,LCT-N,0.0708806224352769,0.004307352397650593
power_nmix_p250_n120_rho0.6_b20_R20.csv,nmix,250,120,0.6,-,BH,0.8287231539187985,0.007263093627339616
power_nmix_p250_n120_rho0.6_b20_R20.csv,nmix,250,120,0.6,-,BY,0.38135782079097014,0.013206936758731516
power_nmix_p250_n120_rho0.6_b20_R20.csv,nmix,250,120,0.6,-,LCT-B,0.0551724137931034,
power_nmix_p250_n120_rho0.6_b20_R20.csv,nmix,250,120,0.6,-,LCT-N,0.10704762801226017,0.004788360262431963
