model,x_model,p,n,rho,block,seed,R_bh_0.05,V_bh_0.05,S_bh_0.05,R_by_0.05,V_by_0.05,S_by_0.05,fdr_bh_0.05,power_bh_0.05,fdr_by_0.05,power_by_0.05,R_bh_0.1,V_bh_0.1,S_bh_0.1,R_by_0.1,V_by_0.1,S_by_0.1,fdr_bh_0.1,power_bh_0.1,fdr_by_0.1,power_by_0.1,t_lct_0.05,R_lct_0.05,V_lct_0.05,S_lct_0.05,fdr_lct_0.05,power_lct_0.05,t_lct_0.1,R_lct_0.1,V_lct_0.1,S_lct_0.1,fdr_lct_0.1,power_lct_0.1,t_lctb_0.05_B100,R_lctb_0.05_B100,V_lctb_0.05_B100,S_lctb_0.05_B100,fdr_lctb_0.05_B100,power_lctb_0.05_B100,t_lctb_0.1_B100,R_lctb_0.1_B100,V_lctb_0.1_B100,S_lctb_0.1_B100,fdr_lctb_0.1_B100,power_lctb_0.1_B100,wall_time_s
gaussian,gaussian,250,200,0.8,20,0,198,8,190,190,0,190,0.04040404040404041,1.0,0.0,1.0,212,22,190,191,1,190,0.10377358490566038,1.0,0.005235602094240838,1.0,3.6149363894880104,199,9,190,0.04522613065326633,1.0,3.4082209063899427,210,20,190,0.09523809523809523,1.0,3.7254556654060034,194,4,190,0.020618556701030927,1.0,3.554456190299514,201,11,190,0.05472636815920398,1.0,1.885199
gaussian,gaussian,250,200,0.8,20,1,203,13,190,192,2,190,0.06403940886699508,1.0,0.010416666666666666,1.0,214,24,190,192,2,190,0.11214953271028037,1.0,0.010416666666666666,1.0,3.6581463317999017,203,13,190,0.06403940886699508,1.0,3.401186705376178,212,22,190,0.10377358490566038,1.0,3.711663126823879,201,11,190,0.05472636815920398,1.0,3.4630641438633205,207,17,190,0.0821256038647343,1.0,1.900497
gaussian,gaussian,250,200,0.8,20,2,197,7,190,191,1,190,0.03553299492385787,1.0,0.005235602094240838,1.0,214,24,190,191,1,190,0.11214953271028037,1.0,0.005235602094240838,1.0,3.617129181419838,197,7,190,0.03553299492385787,1.0,3.4017097762441533,214,24,190,0.11214953271028037,1.0,3.6273881652313404,196,6,190,0.030612244897959183,1.0,3.4313768775544213,212,22,190,0.10377358490566038,1.0,1.867857
gaussian,gaussian,250,200,0.8,20,3,199,9,190,191,1,190,0.04522613065326633,1.0,0.005235602094240838,1.0,211,21,190,191,1,190,0.0995260663507109,1.0,0.005235602094240838,1.0,3.638398848996527,199,9,190,0.04522613065326633,1.0,3.4090490185405002,212,22,190,0.10377358490566038,1.0,3.7459872258098805,196,6,190,0.030612244897959183,1.0,3.4758077964652045,207,17,190,0.0821256038647343,1.0,2.038225
gaussian,gaussian,250,200,0.8,20,4,204,14,190,193,3,190,0.06862745098039216,1.0,0.015544041450777202,1.0,223,33,190,195,5,190,0.14798206278026907,1.0,0.02564102564102564,1.0,3.5963249685024805,204,14,190,0.06862745098039216,1.0,3.390428788235638,223,33,190,0.14798206278026907,1.0,3.6921296750589234,202,12,190,0.0594059405940594,1.0,3.4477842178992595,219,29,190,0.1324200913242009,1.0,1.866958
gaussian,gaussian,250,200,0.8,20,5,201,11,190,190,0,190,0.05472636815920398,1.0,0.0,1.0,212,22,190,190,0,190,0.10377358490566038,1.0,0.0,1.0,3.6220029479163776,201,11,190,0.05472636815920398,1.0,3.3983696468884945,213,23,190,0.107981220657277,1.0,3.654231407615108,200,10,190,0.05,1.0,3.446917777952949,211,21,190,0.0995260663507109,1.0,1.851245
gaussian,gaussian,250,200,0.8,20,6,197,7,190,190,0,190,0.03553299492385787,1.0,0.0,1.0,212,22,190,190,0,190,0.10377358490566038,1.0,0.0,1.0,3.6546683679238687,197,7,190,0.03553299492385787,1.0,3.441333340291524,210,20,190,0.09523809523809523,1.0,3.7204873218627426,196,6,190,0.030612244897959183,1.0,3.4452406840597485,209,19,190,0.09090909090909091,1.0,1.771817
gaussian,gaussian,250,200,0.8,20,7,197,7,190,192,2,190,0.03553299492385787,1.0,0.010416666666666666,1.0,209,19,190,193,3,190,0.09090909090909091,1.0,0.015544041450777202,1.0,3.633990118289026,197,7,190,0.03553299492385787,1.0,3.400308767762036,211,21,190,0.0995260663507109,1.0,3.9343282982259558,194,4,190,0.020618556701030927,1.0,3.4691122606441236,206,16,190,0.07766990291262135,1.0,1.839885
gaussian,gaussian,250,200,0.8,20,8,201,11,190,193,3,190,0.05472636815920398,1.0,0.015544041450777202,1.0,214,24,190,194,4,190,0.11214953271028037,1.0,0.020618556701030927,1.0,3.6136928201995624,201,11,190,0.05472636815920398,1.0,3.3965855467468553,213,23,190,0.107981220657277,1.0,3.649754196857238,200,10,190,0.05,1.0,3.4503093922186836,209,19,190,0.09090909090909091,1.0,1.727975
gaussian,gaussian,250,200,0.8,20,9,201,11,190,190,0,190,0.05472636815920398,1.0,0.0,1.0,210,20,190,191,1,190,0.09523809523809523,1.0,0.005235602094240838,1.0,3.661650272276508,201,11,190,0.05472636815920398,1.0,3.400817497160422,212,22,190,0.10377358490566038,1.0,3.6796081622924595,200,10,190,0.05,1.0,3.4602542010030795,208,18,190,0.08653846153846154,1.0,2.005006
