model,x_model,p,n,rho,block,seed,R_bh_0.05,V_bh_0.05,S_bh_0.05,R_by_0.05,V_by_0.05,S_by_0.05,fdr_bh_0.05,power_bh_0.05,fdr_by_0.05,power_by_0.05,R_bh_0.1,V_bh_0.1,S_bh_0.1,R_by_0.1,V_by_0.1,S_by_0.1,fdr_bh_0.1,power_bh_0.1,fdr_by_0.1,power_by_0.1,t_lct_0.05,R_lct_0.05,V_lct_0.05,S_lct_0.05,fdr_lct_0.05,power_lct_0.05,t_lct_0.1,R_lct_0.1,V_lct_0.1,S_lct_0.1,fdr_lct_0.1,power_lct_0.1,t_lctb_0.05_B100,R_lctb_0.05_B100,V_lctb_0.05_B100,S_lctb_0.05_B100,fdr_lctb_0.05_B100,power_lctb_0.05_B100,t_lctb_0.1_B100,R_lctb_0.1_B100,V_lctb_0.1_B100,S_lctb_0.1_B100,fdr_lctb_0.1_B100,power_lctb_0.1_B100,wall_time_s
gaussian,gaussian,250,120,0.7,20,0,196,7,189,189,1,188,0.03571428571428571,0.9947368421052631,0.005291005291005291,0.9894736842105263,206,16,190,190,1,189,0.07766990291262135,1.0,0.005263157894736842,0.9947368421052631,3.645327107067935,198,8,190,0.04040404040404041,1.0,3.4091380308682093,206,16,190,0.07766990291262135,1.0,3.7449570535569574,197,7,190,0.03553299492385787,1.0,3.449828876419899,202,12,190,0.0594059405940594,1.0,1.471857
gaussian,gaussian,250,120,0.7,20,1,198,8,190,188,0,188,0.04040404040404041,1.0,0.0,0.9894736842105263,210,20,190,190,1,189,0.09523809523809523,1.0,0.005263157894736842,0.9947368421052631,3.613110468037344,198,8,190,0.04040404040404041,1.0,3.411934571373972,210,20,190,0.09523809523809523,1.0,3.718435694716897,196,6,190,0.030612244897959183,1.0,3.4566829217026696,206,16,190,0.07766990291262135,1.0,1.512493
gaussian,gaussian,250,120,0.7,20,2,201,11,190,191,2,189,0.05472636815920398,1.0,0.010471204188481676,0.9947368421052631,215,25,190,193,3,190,0.11627906976744186,1.0,0.015544041450777202,1.0,3.6234672928496066,200,10,190,0.05,1.0,3.393938702115507,217,27,190,0.12442396313364056,1.0,3.6921761098706853,198,8,190,0.04040404040404041,1.0,3.4753339597111883,209,19,190,0.09090909090909091,1.0,1.515709
gaussian,gaussian,250,120,0.7,20,3,196,6,190,191,2,189,0.030612244897959183,1.0,0.010471204188481676,0.9947368421052631,215,25,190,191,2,189,0.11627906976744186,1.0,0.010471204188481676,0.9947368421052631,3.7486664958127447,196,6,190,0.030612244897959183,1.0,3.4038465189659135,217,27,190,0.12442396313364056,1.0,3.7486664958127447,196,6,190,0.030612244897959183,1.0,3.4571168209518364,214,24,190,0.11214953271028037,1.0,1.364453
gaussian,gaussian,250,120,0.7,20,4,204,14,190,189,1,188,0.06862745098039216,1.0,0.005291005291005291,0.9894736842105263,216,26,190,193,3,190,0.12037037037037036,1.0,0.015544041450777202,1.0,3.601354904720024,205,15,190,0.07317073170731707,1.0,3.3921384440831592,220,30,190,0.13636363636363635,1.0,3.7481052331284275,196,6,190,0.030612244897959183,1.0,3.500003497102752,211,21,190,0.0995260663507109,1.0,1.500823
gaussian,gaussian,250,120,0.7,20,5,202,12,190,191,1,190,0.0594059405940594,1.0,0.005235602094240838,1.0,209,19,190,194,4,190,0.09090909090909091,1.0,0.020618556701030927,1.0,3.5944151337924173,203,13,190,0.06403940886699508,1.0,3.4011339140057157,212,22,190,0.10377358490566038,1.0,3.641814665183264,202,12,190,0.0594059405940594,1.0,3.446045316478046,211,21,190,0.0995260663507109,1.0,1.369927
gaussian,gaussian,250,120,0.7,20,6,198,8,190,190,0,190,0.04040404040404041,1.0,0.0,1.0,205,15,190,190,0,190,0.07317073170731707,1.0,0.0,1.0,3.615761762124933,198,8,190,0.04040404040404041,1.0,3.410070661410503,205,15,190,0.07317073170731707,1.0,3.6498475164923194,197,7,190,0.03553299492385787,1.0,3.4748310763265646,204,14,190,0.06862745098039216,1.0,1.563467
gaussian,gaussian,250,120,0.7,20,7,199,9,190,189,1,188,0.04522613065326633,1.0,0.005291005291005291,0.9894736842105263,207,17,190,190,1,189,0.0821256038647343,1.0,0.005263157894736842,0.9947368421052631,3.608061168876876,199,9,190,0.04522613065326633,1.0,3.4086000559272494,209,19,190,0.09090909090909091,1.0,3.6925227710888984,196,6,190,0.030612244897959183,1.0,3.458909148018082,207,17,190,0.0821256038647343,1.0,1.869667
gaussian,gaussian,250,120,0.7,20,8,197,7,190,190,0,190,0.03553299492385787,1.0,0.0,1.0,203,13,190,190,0,190,0.06403940886699508,1.0,0.0,1.0,3.6475128794428064,196,6,190,0.030612244897959183,1.0,3.440950729634225,203,13,190,0.06403940886699508,1.0,3.707030979263212,194,4,190,0.020618556701030927,1.0,3.48982148829426,202,12,190,0.0594059405940594,1.0,1.740731
gaussian,gaussian,250,120,0.7,20,9,202,13,189,189,0,189,0.06435643564356436,0.9947368421052631,0.0,0.9947368421052631,211,22,189,189,0,189,0.10426540284360189,0.9947368421052631,0.0,0.9947368421052631,3.6264104475872876,203,13,190,0.06403940886699508,1.0,3.4149774296498037,215,25,190,0.11627906976744186,1.0,3.704274544208151,199,9,190,0.04522613065326633,1.0,3.4739121600041662,208,18,190,0.08653846153846154,1.0,1.471788
