model,x_model,p,n1,n2,rho,block,cov_kind,decay,seed,R_bh_0.05,V_bh_0.05,S_bh_0.05,R_by_0.05,V_by_0.05,S_by_0.05,fdr_bh_0.05,power_bh_0.05,fdr_by_0.05,power_by_0.05,R_bh_0.1,V_bh_0.1,S_bh_0.1,R_by_0.1,V_by_0.1,S_by_0.1,fdr_bh_0.1,power_bh_0.1,fdr_by_0.1,power_by_0.1,t_lct_cai_liu_0.05,R_lct_cai_liu_0.05,V_lct_cai_liu_0.05,S_lct_cai_liu_0.05,fdr_lct_cai_liu_0.05,power_lct_cai_liu_0.05,t_lct_cai_liu_0.1,R_lct_cai_liu_0.1,V_lct_cai_liu_0.1,S_lct_cai_liu_0.1,fdr_lct_cai_liu_0.1,power_lct_cai_liu_0.1,t_lct_gaussian_0.05,R_lct_gaussian_0.05,V_lct_gaussian_0.05,S_lct_gaussian_0.05,fdr_lct_gaussian_0.05,power_lct_gaussian_0.05,t_lct_gaussian_0.1,R_lct_gaussian_0.1,V_lct_gaussian_0.1,S_lct_gaussian_0.1,fdr_lct_gaussian_0.1,power_lct_gaussian_0.1,t_lct_jackknife_0.05,R_lct_jackknife_0.05,V_lct_jackknife_0.05,S_lct_jackknife_0.05,fdr_lct_jackknife_0.05,power_lct_jackknife_0.05,t_lct_jackknife_0.1,R_lct_jackknife_0.1,V_lct_jackknife_0.1,S_lct_jackknife_0.1,fdr_lct_jackknife_0.1,power_lct_jackknife_0.1,t_lctb_0.05_B100,R_lctb_0.05_B100,V_lctb_0.05_B100,S_lctb_0.05_B100,fdr_lctb_0.05_B100,power_lctb_0.05_B100,t_lctb_0.1_B100,R_lctb_0.1_B100,V_lctb_0.1_B100,S_lctb_0.1_B100,fdr_lctb_0.1_B100,power_lctb_0.1_B100,wall_time_s
gaussian,gaussian,250,80,200,0.6,20,block_ar1,0.6,0,19,2,17,11,0,11,0.10526315789473684,0.08947368421052632,0.0,0.05789473684210526,20,3,17,13,0,13,0.15,0.08947368421052632,0.0,0.06842105263157895,4.154102597022993,21,2,19,0.09523809523809523,0.1,4.017007050157108,23,3,20,0.13043478260869565,0.10526315789473684,4.290403573291196,20,1,19,0.05,0.1,3.981955944397509,23,3,20,0.13043478260869565,0.10526315789473684,4.353311283672825,10,0,10,0.0,0.05263157894736842,4.02333371151667,18,5,13,0.2777777777777778,0.06842105263157895,4.645326089015648,20,1,19,0.05,0.1,4.154102597022993,21,2,19,0.09523809523809523,0.1,2.331547
gaussian,gaussian,250,80,200,0.6,20,block_ar1,0.6,1,19,0,19,11,0,11,0.0,0.1,0.0,0.05789473684210526,27,4,23,12,0,12,0.14814814814814814,0.12105263157894737,0.0,0.06315789473684211,4.087304258107997,29,2,27,0.06896551724137931,0.14210526315789473,3.9002765816102163,35,5,30,0.14285714285714285,0.15789473684210525,4.2398861087415805,27,1,26,0.037037037037037035,0.1368421052631579,3.8684955868610493,35,5,30,0.14285714285714285,0.15789473684210525,4.353620297092098,10,0,10,0.0,0.05263157894736842,4.186639486966526,13,1,12,0.07692307692307693,0.06315789473684211,4.435310869496508,25,1,24,0.04,0.12631578947368421,4.029831958282202,30,2,28,0.06666666666666667,0.14736842105263157,2.100638
gaussian,gaussian,250,80,200,0.6,20,block_ar1,0.6,2,17,0,17,12,0,12,0.0,0.08947368421052632,0.0,0.06315789473684211,18,1,17,15,0,15,0.05555555555555555,0.08947368421052632,0.0,0.07894736842105263,4.2037264899806095,20,0,20,0.0,0.10526315789473684,4.070425787477141,21,1,20,0.047619047619047616,0.10526315789473684,4.490308604816872,19,0,19,0.0,0.1,4.020537667744034,21,1,20,0.047619047619047616,0.10526315789473684,4.786781846527555,7,0,7,0.0,0.03684210526315789,4.142933160872595,11,1,10,0.09090909090909091,0.05263157894736842,5.224787864506257,18,0,18,0.0,0.09473684210526316,4.546025792871822,19,0,19,0.0,0.1,1.800427
gaussian,gaussian,250,80,200,0.6,20,block_ar1,0.6,3,20,1,19,12,0,12,0.05,0.1,0.0,0.06315789473684211,23,2,21,14,0,14,0.08695652173913043,0.11052631578947368,0.0,0.07368421052631578,4.111766793617404,25,2,23,0.08,0.12105263157894737,3.9312116441280773,27,4,23,0.14814814814814814,0.12105263157894737,4.133973549631729,24,1,23,0.041666666666666664,0.12105263157894737,4.060787026565126,25,2,23,0.08,0.12105263157894737,4.309805252995114,12,1,11,0.08333333333333333,0.05789473684210526,4.174976254376292,13,1,12,0.07692307692307693,0.06315789473684211,4.6920609971110325,23,1,22,0.043478260869565216,0.11578947368421053,4.111766793617404,25,2,23,0.08,0.12105263157894737,1.765491
gaussian,gaussian,250,80,200,0.6,20,block_ar1,0.6,4,16,0,16,13,0,13,0.0,0.08421052631578947,0.0,0.06842105263157895,18,1,17,14,0,14,0.05555555555555555,0.08947368421052632,0.0,0.07368421052631578,4.222222966443352,22,1,21,0.045454545454545456,0.11052631578947368,3.961410032230458,26,3,23,0.11538461538461539,0.12105263157894737,4.182536213668449,21,0,21,0.0,0.11052631578947368,4.035766183191895,22,0,22,0.0,0.11578947368421053,4.3939018450966385,11,1,10,0.09090909090909091,0.05263157894736842,4.090256897630186,14,2,12,0.14285714285714285,0.06315789473684211,4.641836553148871,21,1,20,0.047619047619047616,0.10526315789473684,4.222222966443352,22,1,21,0.045454545454545456,0.11052631578947368,1.936078
gaussian,gaussian,250,80,200,0.6,20,block_ar1,0.6,5,23,3,20,16,0,16,0.13043478260869565,0.10526315789473684,0.0,0.08421052631578947,26,5,21,17,0,17,0.19230769230769232,0.11052631578947368,0.0,0.08947368421052632,4.300108627378401,27,4,23,0.14814814814814814,0.12105263157894737,3.9928769524913634,29,6,23,0.20689655172413793,0.12105263157894737,4.256160485390023,27,4,23,0.14814814814814814,0.12105263157894737,3.9520687919409627,29,6,23,0.20689655172413793,0.12105263157894737,4.315890591310282,13,3,10,0.23076923076923078,0.05263157894736842,4.02263475323362,19,4,15,0.21052631578947367,0.07894736842105263,4.438914811657355,23,1,22,0.043478260869565216,0.11578947368421053,4.300108627378401,27,4,23,0.14814814814814814,0.12105263157894737,1.829114
gaussian,gaussian,250,80,200,0.6,20,block_ar1,0.6,6,20,0,20,10,0,10,0.0,0.10526315789473684,0.0,0.05263157894736842,23,0,23,13,0,13,0.0,0.12105263157894737,0.0,0.06842105263157895,4.201746792895517,26,0,26,0.0,0.1368421052631579,4.087753997320315,27,0,27,0.0,0.14210526315789473,4.156049327580159,26,0,26,0.0,0.1368421052631579,4.043296297768759,27,0,27,0.0,0.14210526315789473,4.397478581471947,8,0,8,0.0,0.042105263157894736,4.071920999845493,15,0,15,0.0,0.07894736842105263,4.614503648854446,24,0,24,0.0,0.12631578947368421,4.201746792895517,26,0,26,0.0,0.1368421052631579,1.971063
gaussian,gaussian,250,80,200,0.6,20,block_ar1,0.6,7,18,2,16,15,0,15,0.1111111111111111,0.08421052631578947,0.0,0.07894736842105263,20,2,18,15,0,15,0.1,0.09473684210526316,0.0,0.07894736842105263,4.137467327889273,24,2,22,0.08333333333333333,0.11578947368421053,3.951202300259151,25,2,23,0.08,0.12105263157894737,4.149281384057873,23,2,21,0.08695652173913043,0.11052631578947368,4.101273875099066,24,2,22,0.08333333333333333,0.11578947368421053,4.2951278187779085,13,0,13,0.0,0.06842105263157895,4.163679407337537,14,0,14,0.0,0.07368421052631578,4.58470650305506,20,1,19,0.05,0.1,4.137467327889273,24,2,22,0.08333333333333333,0.11578947368421053,1.92529
gaussian,gaussian,250,80,200,0.6,20,block_ar1,0.6,8,19,1,18,10,0,10,0.05263157894736842,0.09473684210526316,0.0,0.05263157894736842,20,2,18,12,0,12,0.1,0.09473684210526316,0.0,0.06315789473684211,4.860025685250379,20,2,18,0.1,0.09473684210526316,4.042491893329517,22,2,20,0.09090909090909091,0.10526315789473684,4.809509482517763,20,2,18,0.1,0.09473684210526316,4.0004733211544465,22,2,20,0.09090909090909091,0.10526315789473684,4.4364706661184306,7,0,7,0.0,0.03684210526315789,4.341269492619366,8,0,8,0.0,0.042105263157894736,4.860025685250379,20,2,18,0.1,0.09473684210526316,4.860025685250379,20,2,18,0.1,0.09473684210526316,1.767452
gaussian,gaussian,250,80,200,0.6,20,block_ar1,0.6,9,15,1,14,12,0,12,0.06666666666666667,0.07368421052631578,0.0,0.06315789473684211,15,1,14,14,1,13,0.06666666666666667,0.07368421052631578,0.07142857142857142,0.06842105263157895,4.544090833279543,20,1,19,0.05,0.1,3.978147451062026,24,2,22,0.08333333333333333,0.11578947368421053,4.461593611724751,20,1,19,0.05,0.1,4.034578616840082,21,1,20,0.047619047619047616,0.10526315789473684,4.414250806557197,7,1,6,0.14285714285714285,0.031578947368421054,4.20446834024236,10,1,9,0.1,0.04736842105263158,4.544090833279543,20,1,19,0.05,0.1,4.544090833279543,20,1,19,0.05,0.1,1.86327
gaussian,gaussian,250,80,200,0.6,20,block_ar1,0.6,10,21,2,19,9,0,9,0.09523809523809523,0.1,0.0,0.04736842105263158,24,5,19,9,0,9,0.20833333333333334,0.1,0.0,0.04736842105263158,4.1412687610402905,24,1,23,0.041666666666666664,0.12105263157894737,3.982371050706455,28,5,23,0.17857142857142858,0.12105263157894737,4.256935557934069,23,0,23,0.0,0.12105263157894737,3.952748416695041,28,5,23,0.17857142857142858,0.12105263157894737,4.537081989332809,7,0,7,0.0,0.03684210526315789,4.156388861741378,11,1,10,0.09090909090909091,0.05263157894736842,4.589372563307647,22,0,22,0.0,0.11578947368421053,4.072497759928583,27,4,23,0.14814814814814814,0.12105263157894737,1.860317
gaussian,gaussian,250,80,200,0.6,20,block_ar1,0.6,11,14,1,13,9,0,9,0.07142857142857142,0.06842105263157895,0.0,0.04736842105263158,20,4,16,12,0,12,0.2,0.08421052631578947,0.0,0.06315789473684211,4.246884755841374,24,3,21,0.125,0.11052631578947368,3.9615465918598134,27,6,21,0.2222222222222222,0.11052631578947368,4.207302972891115,24,3,21,0.125,0.11052631578947368,3.9359509899815364,26,5,21,0.19230769230769232,0.11052631578947368,4.389301683605467,9,1,8,0.1111111111111111,0.042105263157894736,4.077788880587103,15,2,13,0.13333333333333333,0.06842105263157895,4.493642188647519,21,1,20,0.047619047619047616,0.10526315789473684,4.246884755841374,24,3,21,0.125,0.11052631578947368,1.795157
gaussian,gaussian,250,80,200,0.6,20,block_ar1,0.6,12,20,1,19,13,0,13,0.05,0.1,0.0,0.06842105263157895,22,3,19,15,0,15,0.13636363636363635,0.1,0.0,0.07894736842105263,4.230598600856192,23,2,21,0.08695652173913043,0.11052631578947368,3.956347849322451,26,5,21,0.19230769230769232,0.11052631578947368,4.1753251809349425,22,1,21,0.045454545454545456,0.11052631578947368,4.1753251809349425,22,1,21,0.045454545454545456,0.11052631578947368,4.5480096844985365,11,0,11,0.0,0.05789473684210526,4.09066266006469,14,1,13,0.07142857142857142,0.06842105263157895,4.7045829359994595,20,0,20,0.0,0.10526315789473684,4.230598600856192,23,2,21,0.08695652173913043,0.11052631578947368,2.045851
gaussian,gaussian,250,80,200,0.6,20,block_ar1,0.6,13,22,0,22,11,0,11,0.0,0.11578947368421053,0.0,0.05789473684210526,22,0,22,12,0,12,0.0,0.11578947368421053,0.0,0.06315789473684211,4.209866915370551,26,1,25,0.038461538461538464,0.13157894736842105,3.9208832666434197,28,1,27,0.03571428571428571,0.14210526315789473,4.1662453246471385,26,1,25,0.038461538461538464,0.13157894736842105,4.02978101539345,27,1,26,0.037037037037037035,0.1368421052631579,4.441228467376842,11,0,11,0.0,0.05789473684210526,4.034584347405657,19,1,18,0.05263157894736842,0.09473684210526316,4.560736331990789,25,1,24,0.04,0.12631578947368421,4.209866915370551,26,1,25,0.038461538461538464,0.13157894736842105,1.787141
gaussian,gaussian,250,80,200,0.6,20,block_ar1,0.6,14,21,0,21,19,0,19,0.0,0.11052631578947368,0.0,0.1,24,3,21,20,0,20,0.125,0.11052631578947368,0.0,0.10526315789473684,4.126166926822824,27,1,26,0.037037037037037035,0.1368421052631579,3.909521217426603,31,4,27,0.12903225806451613,0.14210526315789473,4.175924677015985,25,0,25,0.0,0.13157894736842105,3.9162186144569917,28,1,27,0.03571428571428571,0.14210526315789473,4.298063061007854,14,1,13,0.07142857142857142,0.06842105263157895,4.000964026423458,20,3,17,0.15,0.08947368421052632,4.590521181079331,23,0,23,0.0,0.12105263157894737,4.126166926822824,27,1,26,0.037037037037037035,0.1368421052631579,1.794327
