model,x_model,p,n1,n2,rho,block,cov_kind,decay,seed,R_bh_0.05,V_bh_0.05,S_bh_0.05,R_by_0.05,V_by_0.05,S_by_0.05,fdr_bh_0.05,power_bh_0.05,fdr_by_0.05,power_by_0.05,R_bh_0.1,V_bh_0.1,S_bh_0.1,R_by_0.1,V_by_0.1,S_by_0.1,fdr_bh_0.1,power_bh_0.1,fdr_by_0.1,power_by_0.1,t_lct_cai_liu_0.05,R_lct_cai_liu_0.05,V_lct_cai_liu_0.05,S_lct_cai_liu_0.05,fdr_lct_cai_liu_0.05,power_lct_cai_liu_0.05,t_lct_cai_liu_0.1,R_lct_cai_liu_0.1,V_lct_cai_liu_0.1,S_lct_cai_liu_0.1,fdr_lct_cai_liu_0.1,power_lct_cai_liu_0.1,t_lct_gaussian_0.05,R_lct_gaussian_0.05,V_lct_gaussian_0.05,S_lct_gaussian_0.05,fdr_lct_gaussian_0.05,power_lct_gaussian_0.05,t_lct_gaussian_0.1,R_lct_gaussian_0.1,V_lct_gaussian_0.1,S_lct_gaussian_0.1,fdr_lct_gaussian_0.1,power_lct_gaussian_0.1,t_lct_jackknife_0.05,R_lct_jackknife_0.05,V_lct_jackknife_0.05,S_lct_jackknife_0.05,fdr_lct_jackknife_0.05,power_lct_jackknife_0.05,t_lct_jackknife_0.1,R_lct_jackknife_0.1,V_lct_jackknife_0.1,S_lct_jackknife_0.1,fdr_lct_jackknife_0.1,power_lct_jackknife_0.1,t_lctb_0.05_B100,R_lctb_0.05_B100,V_lctb_0.05_B100,S_lctb_0.05_B100,fdr_lctb_0.05_B100,power_lctb_0.05_B100,t_lctb_0.1_B100,R_lctb_0.1_B100,V_lctb_0.1_B100,S_lctb_0.1_B100,fdr_lctb_0.1_B100,power_lctb_0.1_B100,wall_time_s
gaussian,gaussian,250,120,120,0.6,20,block_ar1,0.6,0,18,0,18,16,0,16,0.0,0.09473684210526316,0.0,0.08421052631578947,21,1,20,17,0,17,0.047619047619047616,0.10526315789473684,0.0,0.08947368421052632,4.342627262785485,21,0,21,0.0,0.11052631578947368,4.0409224473307175,22,1,21,0.045454545454545456,0.11052631578947368,4.3137868059873785,21,0,21,0.0,0.11052631578947368,4.014085686491155,22,1,21,0.045454545454545456,0.11052631578947368,4.378297934444305,9,0,9,0.0,0.04736842105263158,4.196082111622624,12,0,12,0.0,0.06315789473684211,4.342627262785485,21,0,21,0.0,0.11052631578947368,4.342627262785485,21,0,21,0.0,0.11052631578947368,2.077825
gaussian,gaussian,250,120,120,0.6,20,block_ar1,0.6,1,19,1,18,14,1,13,0.05263157894736842,0.09473684210526316,0.07142857142857142,0.06842105263157895,20,1,19,15,1,14,0.05,0.1,0.06666666666666667,0.07368421052631578,4.212075758831719,24,1,23,0.041666666666666664,0.12105263157894737,3.960078268861359,26,3,23,0.11538461538461539,0.12105263157894737,4.192257017930166,24,1,23,0.041666666666666664,0.12105263157894737,3.9414452314579207,26,3,23,0.11538461538461539,0.12105263157894737,4.457983532597646,10,1,9,0.1,0.04736842105263158,4.457983532597646,10,1,9,0.1,0.04736842105263158,4.212075758831719,24,1,23,0.041666666666666664,0.12105263157894737,4.010205512985833,25,2,23,0.08,0.12105263157894737,1.687604
gaussian,gaussian,250,120,120,0.6,20,block_ar1,0.6,2,16,0,16,12,0,12,0.0,0.08421052631578947,0.0,0.06315789473684211,17,0,17,12,0,12,0.0,0.08947368421052632,0.0,0.06315789473684211,4.2650543778971475,20,0,20,0.0,0.10526315789473684,4.2650543778971475,20,0,20,0.0,0.10526315789473684,4.219173332513673,20,0,20,0.0,0.10526315789473684,4.219173332513673,20,0,20,0.0,0.10526315789473684,5.1480571368964645,4,0,4,0.0,0.021052631578947368,4.240993983071018,7,1,6,0.14285714285714285,0.031578947368421054,4.414289287814558,19,0,19,0.0,0.1,4.2650543778971475,20,0,20,0.0,0.10526315789473684,1.946315
gaussian,gaussian,250,120,120,0.6,20,block_ar1,0.6,3,23,3,20,15,1,14,0.13043478260869565,0.10526315789473684,0.06666666666666667,0.07368421052631578,25,4,21,16,1,15,0.16,0.11052631578947368,0.0625,0.07894736842105263,4.1239328622147635,27,3,24,0.1111111111111111,0.12631578947368421,3.9687698328050236,29,4,25,0.13793103448275862,0.13157894736842105,4.0933550396053615,27,3,24,0.1111111111111111,0.12631578947368421,3.939342501182587,29,4,25,0.13793103448275862,0.13157894736842105,4.33459648211576,12,2,10,0.16666666666666666,0.05263157894736842,4.203701611735859,13,2,11,0.15384615384615385,0.05789473684210526,4.367528140907565,23,1,22,0.043478260869565216,0.11578947368421053,3.9687698328050236,29,4,25,0.13793103448275862,0.13157894736842105,1.769098
gaussian,gaussian,250,120,120,0.6,20,block_ar1,0.6,4,17,0,17,14,0,14,0.0,0.08947368421052632,0.0,0.07368421052631578,20,2,18,16,0,16,0.1,0.09473684210526316,0.0,0.08421052631578947,4.256148684229965,21,0,21,0.0,0.11052631578947368,4.079401232207252,23,2,21,0.08695652173913043,0.11052631578947368,4.207946461135215,21,0,21,0.0,0.11052631578947368,4.033200729622267,23,2,21,0.08695652173913043,0.11052631578947368,4.328968657304596,12,1,11,0.08333333333333333,0.05789473684210526,4.1704364713910005,14,2,12,0.14285714285714285,0.06315789473684211,4.256148684229965,21,0,21,0.0,0.11052631578947368,4.079401232207252,23,2,21,0.08695652173913043,0.11052631578947368,1.740702
gaussian,gaussian,250,120,120,0.6,20,block_ar1,0.6,5,20,1,19,18,0,18,0.05,0.1,0.0,0.09473684210526316,24,3,21,18,0,18,0.125,0.11052631578947368,0.0,0.09473684210526316,4.203791499391617,25,1,24,0.04,0.12631578947368421,3.910036966137029,30,5,25,0.16666666666666666,0.13157894736842105,4.163337988760832,25,1,24,0.04,0.12631578947368421,3.9812119491172586,28,3,25,0.10714285714285714,0.13157894736842105,4.345026678783561,11,0,11,0.0,0.05789473684210526,4.08370239106459,15,0,15,0.0,0.07894736842105263,4.203791499391617,25,1,24,0.04,0.12631578947368421,4.01989581296444,28,3,25,0.10714285714285714,0.13157894736842105,1.865042
gaussian,gaussian,250,120,120,0.6,20,block_ar1,0.6,6,20,1,19,16,0,16,0.05,0.1,0.0,0.08421052631578947,21,1,20,16,0,16,0.047619047619047616,0.10526315789473684,0.0,0.08421052631578947,4.310773318973523,24,1,23,0.041666666666666664,0.12105263157894737,3.9242054340171912,28,3,25,0.10714285714285714,0.13157894736842105,4.270718928415039,24,1,23,0.041666666666666664,0.12105263157894737,3.9652927645284533,26,1,25,0.038461538461538464,0.13157894736842105,4.320514168316404,11,1,10,0.09090909090909091,0.05263157894736842,4.180257578993273,13,1,12,0.07692307692307693,0.06315789473684211,4.310773318973523,24,1,23,0.041666666666666664,0.12105263157894737,4.002482611889375,26,1,25,0.038461538461538464,0.13157894736842105,1.661135
gaussian,gaussian,250,120,120,0.6,20,block_ar1,0.6,7,19,1,18,14,1,13,0.05263157894736842,0.09473684210526316,0.07142857142857142,0.06842105263157895,24,4,20,14,1,13,0.16666666666666666,0.10526315789473684,0.07142857142857142,0.06842105263157895,4.49696751116561,23,2,21,0.08695652173913043,0.11052631578947368,4.023177727930222,25,4,21,0.16,0.11052631578947368,4.480079828534865,23,2,21,0.08695652173913043,0.11052631578947368,4.008069291307615,25,4,21,0.16,0.11052631578947368,4.449595835001721,8,1,7,0.125,0.03684210526315789,4.158491690826518,12,1,11,0.08333333333333333,0.05789473684210526,4.49696751116561,23,2,21,0.08695652173913043,0.11052631578947368,4.023177727930222,25,4,21,0.16,0.11052631578947368,1.883796
gaussian,gaussian,250,120,120,0.6,20,block_ar1,0.6,8,17,1,16,14,0,14,0.058823529411764705,0.08421052631578947,0.0,0.07368421052631578,18,1,17,15,0,15,0.05555555555555555,0.08947368421052632,0.0,0.07894736842105263,4.228535275052639,19,1,18,0.05263157894736842,0.09473684210526316,4.091711609622288,20,1,19,0.05,0.1,4.175809014983107,19,1,18,0.05263157894736842,0.09473684210526316,4.04069142498973,20,1,19,0.05,0.1,4.364338475363506,8,0,8,0.0,0.042105263157894736,4.364338475363506,8,0,8,0.0,0.042105263157894736,4.3850552103400675,18,1,17,0.05555555555555555,0.08947368421052632,4.091711609622288,20,1,19,0.05,0.1,1.993798
gaussian,gaussian,250,120,120,0.6,20,block_ar1,0.6,9,16,0,16,15,0,15,0.0,0.08421052631578947,0.0,0.07894736842105263,17,0,17,15,0,15,0.0,0.08947368421052632,0.0,0.07894736842105263,4.549849729846344,20,0,20,0.0,0.10526315789473684,3.9769078256544885,22,2,20,0.09090909090909091,0.10526315789473684,4.49230078929317,20,0,20,0.0,0.10526315789473684,4.006911884189187,21,1,20,0.047619047619047616,0.10526315789473684,4.367905940299157,9,0,9,0.0,0.04736842105263158,4.12286171207807,12,0,12,0.0,0.06315789473684211,4.549849729846344,20,0,20,0.0,0.10526315789473684,4.058242715458233,21,1,20,0.047619047619047616,0.10526315789473684,1.663598
gaussian,gaussian,250,120,120,0.6,20,block_ar1,0.6,10,21,1,20,14,0,14,0.047619047619047616,0.10526315789473684,0.0,0.07368421052631578,25,2,23,14,0,14,0.08,0.12105263157894737,0.0,0.07368421052631578,4.269733865613354,25,1,24,0.04,0.12631578947368421,4.269733865613354,25,1,24,0.04,0.12631578947368421,4.2448450925692125,25,1,24,0.04,0.12631578947368421,4.2448450925692125,25,1,24,0.04,0.12631578947368421,4.427270518171078,12,1,11,0.08333333333333333,0.05789473684210526,4.035440355670463,17,2,15,0.11764705882352941,0.07894736842105263,4.269733865613354,25,1,24,0.04,0.12631578947368421,4.269733865613354,25,1,24,0.04,0.12631578947368421,1.824311
gaussian,gaussian,250,120,120,0.6,20,block_ar1,0.6,11,20,1,19,15,0,15,0.05,0.1,0.0,0.07894736842105263,23,2,21,15,0,15,0.08695652173913043,0.11052631578947368,0.0,0.07894736842105263,4.132416606089936,26,1,25,0.038461538461538464,0.13157894736842105,4.010556495118123,28,3,25,0.10714285714285714,0.13157894736842105,4.1111962927471914,26,1,25,0.038461538461538464,0.13157894736842105,3.9899619438863416,27,2,25,0.07407407407407407,0.13157894736842105,4.282072997687858,12,0,12,0.0,0.06315789473684211,4.144351572721503,13,0,13,0.0,0.06842105263157895,4.212148570017935,25,0,25,0.0,0.13157894736842105,4.010556495118123,28,3,25,0.10714285714285714,0.13157894736842105,1.801461
gaussian,gaussian,250,120,120,0.6,20,block_ar1,0.6,12,18,0,18,14,0,14,0.0,0.09473684210526316,0.0,0.07368421052631578,19,1,18,14,0,14,0.05263157894736842,0.09473684210526316,0.0,0.07368421052631578,4.131725184226183,23,2,21,0.08695652173913043,0.11052631578947368,4.039352329337735,24,3,21,0.125,0.11052631578947368,4.243510555453812,21,1,20,0.047619047619047616,0.10526315789473684,3.992191542480718,24,3,21,0.125,0.11052631578947368,4.371122111818625,10,0,10,0.0,0.05263157894736842,4.235643283358195,13,0,13,0.0,0.06842105263157895,4.293640238536828,21,1,20,0.047619047619047616,0.10526315789473684,4.039352329337735,24,3,21,0.125,0.11052631578947368,1.63889
gaussian,gaussian,250,120,120,0.6,20,block_ar1,0.6,13,21,1,20,14,0,14,0.047619047619047616,0.10526315789473684,0.0,0.07368421052631578,27,4,23,18,0,18,0.14814814814814814,0.12105263157894737,0.0,0.09473684210526316,4.391505331933578,24,1,23,0.041666666666666664,0.12105263157894737,3.9316988212484523,30,4,26,0.13333333333333333,0.1368421052631579,4.353523927612198,24,1,23,0.041666666666666664,0.12105263157894737,3.9208792254096387,29,4,25,0.13793103448275862,0.13157894736842105,4.3444541915246715,14,1,13,0.07142857142857142,0.06842105263157895,4.1654208044517045,16,1,15,0.0625,0.07894736842105263,4.391505331933578,24,1,23,0.041666666666666664,0.12105263157894737,3.99148910781836,28,3,25,0.10714285714285714,0.13157894736842105,1.763565
