file,model,p,n,rho,alpha,method,mean,se
power_exp_cl_p250_n200_rho0.6_b20_R300.csv,exp_cl,250,200,0.6,-,BY,0.016563875630893923,0.0005411411233386576
power_exp_cl_p250_n200_rho0.6_b20_R300.csv,exp_cl,250,200,0.6,-,LCT-B,0.05,
power_exp_cl_p250_n200_rho0.6_b20_R300.csv,exp_cl,250,200,0.6,-,LCT-N,0.00012424797419421268,4.649552112586608e-05
power_exp_cl_p250_n200_rho0.6_b20_R300.csv,exp_cl,250,200,0.6,0.05,BH,0.0712712789389978,0.0011470448477842571
power_exp_cl_p250_n200_rho0.6_b20_R300.csv,exp_cl,250,200,0.6,0.05,BY,0.00921219882574345,0.000391843530144122
power_exp_cl_p250_n200_rho0.6_b20_R300.csv,exp_cl,250,200,0.6,0.05,LCT-B,0.0206185567010309,
power_exp_cl_p250_n200_rho0.6_b20_R300.csv,exp_cl,250,200,0.6,0.05,LCT-N,5.437627217214267e-05,3.129711518654627e-05
power_exp_cl_p250_n200_rho0.7_b20_R300.csv,exp_cl,250,200,0.7,-,BH,0.13121826684686794,0.0014763556340214444
power_exp_cl_p250_n200_rho0.7_b20_R300.csv,exp_cl,250,200,0.7,-,BY,0.016411446503761508,0.0005354887062665214
power_exp_cl_p250_n200_rho0.7_b20_R300.csv,exp_cl,250,200,0.7,-,LCT-B,0.0256410256410256,
power_exp_cl_p250_n200_rho0.7_b20_R300.csv,exp_cl,250,200,0.7,-,LCT-N,0.00013970790851474134,4.881266331244702e-05
power_exp_cl_p250_n200_rho0.7_b20_R300.csv,exp_cl,250,200,0.7,0.05,BH,0.07140573703155698,0.0011434953496258049
power_exp_cl_p250_n200_rho0.7_b20_R300.csv,exp_cl,250,200,0.7,0.05,BY,0.009341316946701532,0.0003913776309538178
power_exp_cl_p250_n200_rho0.7_b20_R300.csv,exp_cl,250,200,0.7,0.05,LCT-B,0.0104166666666666,
power_exp_cl_p250_n200_rho0.7_b20_R300.csv,exp_cl,250,200,0.7,0.05,LCT-N,5.2356020942407996e-05,3.0126496963223797e-05
power_exp_cl_p250_n200_rho0.8_b20_R300.csv,exp_cl,250,200,0.8,-,BH,0.13133712046624937,0.0014863186880422138
power_exp_cl_p250_n200_rho0.8_b20_R300.csv,exp_cl,250,200,0.8,-,BY,0.01652587853913242,0.0005370176483073373
power_exp_cl_p250_n200_rho0.8_b20_R300.csv,exp_cl,250,200,0.8,-,LCT-B,0.0206185567010309,
power_exp_cl_p250_n200_rho0.8_b20_R300.csv,exp_cl,250,200,0.8,-,LCT-N,0.00012216404886561866,4.570804160882566e-05
power_exp_cl_p250_n200_rho0.8_b20_R300.csv,exp_cl,250,200,0.8,0.05,BH,0.07141008419277471,0.001155317407618118
power_exp_cl_p250_n200_rho0.8_b20_R300.csv,exp_cl,250,200,0.8,0.05,BY,0.009321081689289622,0.00039136265877593904
power_exp_cl_p250_n200_rho0.8_b20_R300.csv,exp_cl,250,200,0.8,0.05,LCT-B,0.0052356020942408,
power_exp_cl_p250_n200_rho0.8_b20_R300.csv,exp_cl,250,200,0.8,0.05,LCT-N,5.2356020942407996e-05,3.0126496963223797e-05
power_exp_cl_p250_n80_rho0.5_b20_R300.csv,exp_cl,250,80,0.5,-,BH,0.19433361357293094,0.004124976130430952
power_exp_cl_p250_n80_rho0.5_b20_R300.csv,exp_cl,250,80,0.5,-,BY,0.039281917440501225,0.003813341506436069
power_exp_cl_p250_n80_rho0.5_b20_R300.csv,exp_cl,250,80,0.5,-,LCT-B,0.0,
power_exp_cl_p250_n80_rho0.5_b20_R300.csv,exp_cl,250,80,0.5,-,LCT-N,0.015607079024519365,0.004172880727312278
power_exp_cl_p250_n80_rho0.5_b20_R300.csv,exp_cl,250,80,0.5,0.05,BH,0.12186955724799219,0.005181637200849395
power_exp_cl_p250_n80_rho0.5_b20_R300.csv,exp_cl,250,80,0.5,0.05,BY,0.023874962383442003,0.00416761659813092
power_exp_cl_p250_n80_rho0.5_b20_R300.csv,exp_cl,250,80,0.5,0.05,LCT-B,0.0,
power_exp_cl_p250_n80_rho0.5_b20_R300.csv,exp_cl,250,80,0.5,0.05,LCT-N,0.012044200694995053,0.0037361122075137017
power_exp_cl_p250_n80_rho0.6_b20_R300.csv,exp_cl,250,80,0.6,-,BH,0.1707604198329958,0.0020820770466640996
power_exp_cl_p250_n80_rho0.6_b20_R300.csv,exp_cl,250,80,0.6,-,BY,0.0290406171168059,0.0012346038054410345
power_exp_cl_p250_n80_rho0.6_b20_R300.csv,exp_cl,250,80,0.6,-,LCT-B,0.0675675675675675,
power_exp_cl_p250_n80_rho0.6_b20_R300.csv,exp_cl,250,80,0.6,-,LCT-N,0.005178678902237179,0.0008271001726948636
power_exp_cl_p250_n80_rho0.6_b20_R300.csv,exp_cl,250,80,0.6,0.05,BH,0.09906314174112825,0.0019496391236407766
power_exp_cl_p250_n80_rho0.6_b20_R300.csv,exp_cl,250,80,0.6,0.05,BY,0.019388539024547694,0.0016180573165780906
power_exp_cl_p250_n80_rho0.6_b20_R300.csv,exp_cl,250,80,0.6,0.05,LCT-B,0.0,
power_exp_cl_p250_n80_rho0.6_b20_R300.csv,exp_cl,250,80,0.6,0.05,LCT-N,0.0043830078295884894,0.0008496103357679013
power_exp_cl_p250_n80_rho0.7_b20_R300.csv,exp_cl,250,80,0.7,-,BH,0.16226055330766218,0.0015815752032277948
power_exp_cl_p250_n80_rho0.7_b20_R300.csv,exp_cl,250,80,0.7,-,BY,0.025308075880941867,0.0008813034674416088
power_exp_cl_p250_n80_rho0.7_b20_R300.csv,exp_cl,250,80,0.7,-,LCT-B,0.0654761904761904,
power_exp_cl_p250_n80_rho0.7_b20_R300.csv,exp_cl,250,80,0.7,-,LCT-N,0.0028581364509396518,0.0002763743670485167
power_exp_cl_p250_n80_rho0.7_b20_R300.csv,exp_cl,250,80,0.7,0.05,BH,0.09351436330900632,0.0013229609682021053
power_exp_cl_p250_n80_rho0.7_b20_R300.csv,exp_cl,250,80,0.7,0.05,BY,0.014509024112418339,0.0006243045435516209
power_exp_cl_p250_n80_rho0.7_b20_R300.csv,exp_cl,250,80,0.7,0.05,LCT-B,0.0258064516129032,
power_exp_cl_p250_n80_rho0.7_b20_R300.csv,exp_cl,250,80,0.7,0.05,LCT-N,0.0026748436547489748,0.0003179188480071628
power_exp_cl_p250_n80_rho0.8_b20_R300.csv,exp_cl,250,80,0.8,-,BH,0.16162017157997555,0.001544620135491468
power_exp_cl_p250_n80_rho0.8_b20_R300.csv,exp_cl,250,80,0.8,-,BY,0.023812883250988817,0.0006175454963286613
power_exp_cl_p250_n80_rho0.8_b20_R300.csv,exp_cl,250,80,0.8,-,LCT-B,0.0404040404040404,
power_exp_cl_p250_n80_rho0.8_b20_R300.csv,exp_cl,250,80,0.8,-,LCT-N,0.0024524550097360025,0.00020464104141609888
power_exp_cl_p250_n80_rho0.8_b20_R300.csv,exp_cl,250,80,0.8,0.05,BH,0.09187681331482868,0.001244861765823032
power_exp_cl_p250_n80_rho0.8_b20_R300.csv,exp_cl,250,80,0.8,0.05,BY,0.013825212115482861,0.0005034532066480557
power_exp_cl_p250_n80_rho0.8_b20_R300.csv,exp_cl,250,80,0.8,0.05,LCT-B,0.0155440414507772,
power_exp_cl_p250_n80_rho0.8_b20_R300.csv,exp_cl,250,80,0.8,0.05,LCT-N,0.0021117565590584807,0.0001913033334097814
power_gaussian_p250_n120_rho0.5_b20_R20.csv,gaussian,250,120,0.5,-,BH,0.09740640839452544,0.004754045020522558
power_gaussian_p250_n120_rho0.5_b20_R20.csv,gaussian,250,120,0.5,-,BY,0.01001357351029861,0.0016741571336221703
power_gaussian_p250_n120_rho0.5_b20_R20.csv,gaussian,250,120,0.5,-,LCT-B,0.0606060606060606,
power_gaussian_p250_n120_rho0.5_b20_R20.csv,gaussian,250,120,0.5,-,LCT-N,0.10257672156764723,0.005239076028138319
