file,model,p,n,rho,alpha,method,mean,se
power_exp_cl_p250_n200_rho0.6_b20_R300.csv,exp_cl,250,200,0.6,-,BY,0.9919298245614034,0.0008958297177503148
power_exp_cl_p250_n200_rho0.6_b20_R300.csv,exp_cl,250,200,0.6,-,LCT-B,1.0,
power_exp_cl_p250_n200_rho0.6_b20_R300.csv,exp_cl,250,200,0.6,-,LCT-N,0.9697543859649123,0.0028529626014252066
power_exp_cl_p250_n200_rho0.6_b20_R300.csv,exp_cl,250,200,0.6,0.05,BH,0.9972105263157895,0.0004056054245753401
power_exp_cl_p250_n200_rho0.6_b20_R300.csv,exp_cl,250,200,0.6,0.05,BY,0.9881754385964913,0.0012500130988936412
power_exp_cl_p250_n200_rho0.6_b20_R300.csv,exp_cl,250,200,0.6,0.05,LCT-B,1.0,
power_exp_cl_p250_n200_rho0.6_b20_R300.csv,exp_cl,250,200,0.6,0.05,LCT-N,0.9567192982456141,0.003736687838863435
power_exp_cl_p250_n200_rho0.7_b20_R300.csv,exp_cl,250,200,0.7,-,BH,0.999982456140351,1.754385964912249e-05
power_exp_cl_p250_n200_rho0.7_b20_R300.csv,exp_cl,250,200,0.7,-,BY,0.9997719298245615,6.197295071532948e-05
power_exp_cl_p250_n200_rho0.7_b20_R300.csv,exp_cl,250,200,0.7,-,LCT-B,1.0,
power_exp_cl_p250_n200_rho0.7_b20_R300.csv,exp_cl,250,200,0.7,-,LCT-N,0.9993508771929824,0.00016338010948378602
power_exp_cl_p250_n200_rho0.7_b20_R300.csv,exp_cl,250,200,0.7,0.05,BH,0.9999649122807017,2.476923993142118e-05
power_exp_cl_p250_n200_rho0.7_b20_R300.csv,exp_cl,250,200,0.7,0.05,BY,0.9996666666666666,9.909254317292971e-05
power_exp_cl_p250_n200_rho0.7_b20_R300.csv,exp_cl,250,200,0.7,0.05,LCT-B,1.0,
power_exp_cl_p250_n200_rho0.7_b20_R300.csv,exp_cl,250,200,0.7,0.05,LCT-N,0.9989824561403509,0.0002551360018472345
power_exp_cl_p250_n200_rho0.8_b20_R300.csv,exp_cl,250,200,0.8,-,BH,1.0,0.0
power_exp_cl_p250_n200_rho0.8_b20_R300.csv,exp_cl,250,200,0.8,-,BY,1.0,0.0
power_exp_cl_p250_n200_rho0.8_b20_R300.csv,exp_cl,250,200,0.8,-,LCT-B,1.0,
power_exp_cl_p250_n200_rho0.8_b20_R300.csv,exp_cl,250,200,0.8,-,LCT-N,1.0,0.0
power_exp_cl_p250_n200_rho0.8_b20_R300.csv,exp_cl,250,200,0.8,0.05,BH,1.0,0.0
power_exp_cl_p250_n200_rho0.8_b20_R300.csv,exp_cl,250,200,0.8,0.05,BY,1.0,0.0
power_exp_cl_p250_n200_rho0.8_b20_R300.csv,exp_cl,250,200,0.8,0.05,LCT-B,1.0,
power_exp_cl_p250_n200_rho0.8_b20_R300.csv,exp_cl,250,200,0.8,0.05,LCT-N,1.0,0.0
power_exp_cl_p250_n80_rho0.5_b20_R300.csv,exp_cl,250,80,0.5,-,BH,0.43443859649122807,0.012594049804288973
power_exp_cl_p250_n80_rho0.5_b20_R300.csv,exp_cl,250,80,0.5,-,BY,0.18770175438596487,0.009472298670198264
power_exp_cl_p250_n80_rho0.5_b20_R300.csv,exp_cl,250,80,0.5,-,LCT-B,0.0,
power_exp_cl_p250_n80_rho0.5_b20_R300.csv,exp_cl,250,80,0.5,-,LCT-N,0.17952631578947364,0.009431136732252515
power_exp_cl_p250_n80_rho0.5_b20_R300.csv,exp_cl,250,80,0.5,0.05,BH,0.34998245614035084,0.012168670265359147
power_exp_cl_p250_n80_rho0.5_b20_R300.csv,exp_cl,250,80,0.5,0.05,BY,0.14182456140350871,0.008066510217740732
